I_U,T_INT,seed,nodes_measured,n_targets,total_assignments,sim_elapsed_s,total_survey_time_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,var_Ubar_min,var_Ubar_max,var_Ubar_mean,var_Ubar_median,var_Ubar_std,sigma_Ubar_mean,ci_rel_mean,ci_rel_max,error
0.25,3,0,70,70,70,187,187,5915.65,79.8,175.1,106.52,19.64,0.129226,0.313997,0.232721,0.233552,0.036569,0.48089,0.0865,0.09,
0.25,3,1,70,70,70,187,187,5453.07,79.8,177.2,107.27,18.59,0.128416,0.277139,0.227749,0.227828,0.027768,0.4763,0.0876,0.09,
0.25,3,2,70,70,70,205,205,5373.71,79.8,195.1,104.44,18.26,0.096594,0.312278,0.225691,0.229426,0.041906,0.47288,0.0864,0.09,
0.25,3,3,70,70,70,198,198,5469.73,79.8,185.1,107.26,18.48,0.132961,0.300911,0.230632,0.226966,0.032663,0.47903,0.0878,0.09,
0.25,3,4,70,70,70,213,213,6255.13,79.8,200.1,111.7,19.57,0.142655,0.317021,0.232254,0.232978,0.032603,0.48072,0.0876,0.09,
0.25,3,5,70,70,70,256,256,5378.63,79.8,245.1,111.32,18.24,0.162596,0.346832,0.232802,0.231581,0.034014,0.48128,0.088,0.09,
0.25,3,6,70,70,70,221,221,5854.1,79.8,210.1,110.48,18.96,0.129954,0.310743,0.229122,0.225159,0.041885,0.47661,0.0869,0.09,
0.25,3,7,70,70,70,198,198,6014.68,79.8,185.4,106.98,18.97,0.114992,0.315827,0.228904,0.233979,0.03706,0.47673,0.0868,0.09,
0.25,3,8,70,70,70,203,203,5385.87,79.8,196.1,114.42,18.25,0.167185,0.350252,0.232077,0.2279,0.032591,0.48064,0.0883,0.09,
0.25,3,9,70,70,70,195,195,5800.41,79.8,185.1,111.28,18.9,0.148194,0.294517,0.225016,0.227576,0.026574,0.47351,0.0874,0.09,
0.25,3.5,0,70,70,70,192,192,5915.65,79.8,180.9,109.75,15.89,0.130888,0.316651,0.231804,0.231194,0.036872,0.4799,0.0862,0.09,
0.25,3.5,1,70,70,70,190,190,5453.07,79.8,180.1,112.11,14.96,0.135589,0.287589,0.228377,0.229612,0.030842,0.47676,0.0876,0.09,
0.25,3.5,2,70,70,70,216,216,5373.71,79.8,205.1,112,14.7,0.099317,0.318221,0.224815,0.229691,0.043197,0.4718,0.0862,0.09,
0.25,3.5,3,70,70,70,203,203,5469.73,79.8,190.1,111.31,14.75,0.142173,0.303532,0.230995,0.227621,0.032456,0.47942,0.0878,0.09,
0.25,3.5,4,70,70,70,218,218,6255.13,79.8,205.1,117.27,15.78,0.153345,0.32064,0.232947,0.237564,0.032264,0.48147,0.0879,0.09,
0.25,3.5,5,70,70,70,261,261,5378.63,79.8,250.1,117.02,14.62,0.167127,0.343612,0.229706,0.228301,0.034847,0.47793,0.0874,0.09,
0.25,3.5,6,70,70,70,226,226,5854.1,79.8,215.1,115.51,15.24,0.133533,0.322356,0.228791,0.229633,0.042476,0.47624,0.0867,0.09,
0.25,3.5,7,70,70,70,209,209,6014.68,79.8,196.7,112.41,15.19,0.11451,0.321972,0.228545,0.232711,0.037808,0.47631,0.0868,0.09,
0.25,3.5,8,70,70,70,210,210,5385.87,79.8,200.4,118.97,14.53,0.160934,0.377115,0.230848,0.225495,0.03628,0.47912,0.0881,0.09,
0.25,3.5,9,70,70,70,200,200,5800.41,79.8,190.3,115.24,14.83,0.140396,0.292867,0.226081,0.228925,0.028592,0.4745,0.0876,0.09,
0.25,4,0,70,70,70,197,197,5915.65,79.8,185.1,112.69,15.16,0.132729,0.349096,0.233132,0.232558,0.039886,0.48107,0.0863,0.09,
0.25,4,1,70,70,70,202,202,5453.07,79.8,190.1,115.79,14.23,0.128959,0.290421,0.227054,0.229956,0.032075,0.47525,0.0873,0.09,
0.25,4,2,70,70,70,221,221,5373.71,79.8,210.1,117.08,13.99,0.102646,0.32459,0.224918,0.225131,0.042373,0.47205,0.0862,0.09,
0.25,4,3,70,70,70,221,221,5469.73,79.8,210.1,116.57,14.1,0.149826,0.307612,0.2322,0.226527,0.032823,0.48069,0.0878,0.09,
0.25,4,4,70,70,70,223,223,6255.13,79.8,210.1,120.62,15.05,0.150991,0.326286,0.233682,0.240923,0.033633,0.48213,0.0877,0.09,
0.25,4,5,70,70,70,264,264,5378.63,79.8,253.7,122.83,14.11,0.163956,0.358138,0.232805,0.229695,0.03433,0.48124,0.0877,0.09,
0.25,4,6,70,70,70,238,238,5854.1,79.8,225.1,118.83,14.67,0.137093,0.322367,0.229042,0.226858,0.044444,0.47633,0.0866,0.09,
0.25,4,7,70,70,70,227,227,6014.68,79.8,214.3,117.52,14.64,0.114872,0.327876,0.227967,0.228913,0.040989,0.47543,0.0867,0.09,
0.25,4,8,70,70,70,215,215,5385.87,79.8,205.5,123.03,14.08,0.153636,0.374403,0.230043,0.22276,0.037499,0.47816,0.0879,0.09,
0.25,4,9,70,70,70,210,210,5800.41,79.8,198.5,119.66,14.39,0.145021,0.292915,0.227294,0.227895,0.028984,0.47576,0.0879,0.09,
0.25,4.5,0,70,70,70,202,202,5915.65,79.8,190.5,115.95,15.23,0.134806,0.351578,0.23253,0.230003,0.043028,0.48016,0.0861,0.09,
0.25,4.5,1,70,70,70,205,205,5453.07,79.8,193.2,119.06,14.1,0.125548,0.296539,0.225983,0.230859,0.033367,0.47399,0.0871,0.09,
0.25,4.5,2,70,70,70,233,233,5373.71,79.8,223.2,122.38,14.01,0.106362,0.329704,0.226441,0.227637,0.043533,0.47358,0.0864,0.09,
0.25,4.5,3,70,70,70,239,239,5469.73,79.8,228.2,120.74,14.12,0.156197,0.311662,0.230127,0.230659,0.034493,0.47839,0.0875,0.09,
0.25,4.5,4,70,70,70,223,223,6255.13,79.8,210.1,125.35,15.07,0.153392,0.330908,0.231961,0.238085,0.035116,0.48021,0.0874,0.09,
0.25,4.5,5,70,70,70,266,266,5378.63,79.8,255.1,126.25,14.02,0.155263,0.366642,0.231441,0.229969,0.037576,0.47954,0.0875,0.09,
0.25,4.5,6,70,70,70,243,243,5854.1,79.8,230.1,122.52,14.43,0.140619,0.322874,0.230716,0.230772,0.045157,0.47802,0.0868,0.09,
0.25,4.5,7,70,70,70,293,293,6014.68,79.8,280.1,123.36,14.62,0.115811,0.332102,0.227106,0.224307,0.040475,0.47461,0.0866,0.09,
0.25,4.5,8,70,70,70,224,224,5385.87,79.8,215.1,129.77,14.13,0.147352,0.345713,0.225949,0.219949,0.035264,0.47397,0.0876,0.09,
0.25,4.5,9,70,70,70,246,246,5800.41,79.8,235.1,123.1,14.37,0.147367,0.293972,0.226234,0.228956,0.028519,0.47468,0.0879,0.09,
0.25,5,0,70,70,70,207,207,5915.65,79.8,195.1,117.91,15.27,0.139806,0.356359,0.23164,0.230093,0.044633,0.47907,0.0857,0.09,
0.25,5,1,70,70,70,240,240,5453.07,79.8,230.1,124.77,14.4,0.108625,0.311905,0.221954,0.225813,0.036134,0.46945,0.0863,0.09,
0.25,5,2,70,70,70,251,251,5373.71,79.8,240.1,127,14.18,0.110259,0.33647,0.227687,0.230172,0.046703,0.4746,0.0864,0.09,
0.25,5,3,70,70,70,241,241,5469.73,79.8,230.9,125.82,14.18,0.122629,0.309548,0.22276,0.224168,0.03853,0.4702,0.0862,0.09,
0.25,5,4,70,70,70,228,228,6255.13,79.8,215.1,128.59,15.41,0.093286,0.336384,0.230187,0.236954,0.039321,0.47788,0.0869,0.09,
0.25,5,5,70,70,70,273,273,5378.63,79.8,260.1,130.87,14.2,0.14774,0.372988,0.228659,0.225707,0.041181,0.47632,0.0869,0.09,
