I_U,T_INT,seed,nodes_measured,n_targets,total_assignments,sim_elapsed_s,total_survey_time_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,var_Ubar_min,var_Ubar_max,var_Ubar_mean,var_Ubar_median,var_Ubar_std,sigma_Ubar_mean,ci_rel_mean,ci_rel_max,error
0.25,3,0,70,70,70,156,156,5915.65,79.8,145.9,93,12.91,0.129226,0.372262,0.261521,0.260648,0.0515,0.50881,0.0917,0.1,
0.25,3,1,70,70,70,178,178,5453.07,79.8,165.1,96.56,12.18,0.128416,0.344342,0.257171,0.258939,0.042397,0.5053,0.0934,0.1,
0.25,3,2,70,70,70,150,150,5373.71,79.8,140.1,94.53,11.79,0.096594,0.371351,0.256881,0.259632,0.059399,0.50314,0.092,0.1,
0.25,3,3,70,70,70,193,193,5469.73,79.8,180.1,97.89,12.07,0.132961,0.368022,0.26671,0.267815,0.0497,0.51411,0.0944,0.1,
0.25,3,4,70,70,70,169,169,6255.13,79.8,155.1,96.26,12.72,0.142655,0.378018,0.270407,0.276141,0.048087,0.51781,0.0945,0.1,
0.25,3,5,70,70,70,185,185,5378.63,79.8,175.1,97,11.75,0.162596,0.398692,0.266769,0.265771,0.046492,0.51452,0.0947,0.1,
0.25,3,6,70,70,70,188,188,5854.1,79.8,175.1,98,12.42,0.129954,0.387978,0.263704,0.268029,0.0535,0.51068,0.0935,0.1,
0.25,3,7,70,70,70,150,150,6014.68,79.8,137.7,94.85,12.27,0.114992,0.349599,0.263637,0.26877,0.052027,0.51063,0.0931,0.1,
0.25,3,8,70,70,70,186,186,5385.87,79.8,176.5,99.54,11.94,0.194891,0.416751,0.27178,0.26846,0.044828,0.51962,0.0954,0.1,
0.25,3,9,70,70,70,190,190,5800.41,79.8,180.1,100.6,12.25,0.148194,0.355064,0.259187,0.267183,0.043081,0.50725,0.0939,0.1,
0.25,3.5,0,70,70,70,187,187,5915.65,79.8,175.1,98.36,13.97,0.130888,0.387372,0.261485,0.265468,0.050378,0.50887,0.0917,0.1,
0.25,3.5,1,70,70,70,178,178,5453.07,79.8,165.1,99.99,12.96,0.135589,0.354658,0.257087,0.259098,0.042516,0.5052,0.0934,0.1,
0.25,3.5,2,70,70,70,163,163,5373.71,79.8,150.1,99.16,12.6,0.099317,0.393846,0.259632,0.261889,0.061063,0.50573,0.0922,0.1,
0.25,3.5,3,70,70,70,197,197,5469.73,79.8,184.2,101.49,12.71,0.142173,0.371036,0.268435,0.266582,0.046752,0.51609,0.0946,0.1,
0.25,3.5,4,70,70,70,174,174,6255.13,79.8,164,100.64,13.53,0.153345,0.390182,0.268959,0.269838,0.047541,0.51649,0.0942,0.1,
0.25,3.5,5,70,70,70,256,256,5378.63,79.8,245.1,103.74,12.82,0.167127,0.424884,0.265566,0.272625,0.048818,0.51313,0.0943,0.1,
0.25,3.5,6,70,70,70,191,191,5854.1,79.8,178.5,102.05,13.13,0.133533,0.405206,0.263698,0.267371,0.054955,0.51056,0.0933,0.1,
0.25,3.5,7,70,70,70,180,180,6014.68,79.8,167.3,99.72,13.23,0.11451,0.355173,0.264177,0.271131,0.052862,0.51112,0.0933,0.1,
