I_U,T_INT,seed,nodes_measured,n_targets,total_assignments,sim_elapsed_s,total_survey_time_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,var_Ubar_min,var_Ubar_max,var_Ubar_mean,var_Ubar_median,var_Ubar_std,sigma_Ubar_mean,ci_rel_mean,ci_rel_max,error
0.25,3,0,70,70,70,133,133,5915.65,79.8,122.8,85.17,12.58,0.129226,0.543033,0.286707,0.277538,0.081355,0.53028,0.0963,0.12,
0.25,3,1,70,70,70,131,131,5453.07,79.8,119.8,88.28,11.86,0.128416,0.478233,0.291265,0.282943,0.078995,0.53486,0.099,0.12,
0.25,3,2,70,70,70,125,125,5373.71,79.8,115.1,86.33,11.52,0.096594,0.491709,0.298147,0.307914,0.09119,0.5391,0.0984,0.1199,
0.25,3,3,70,70,70,132,132,5469.73,79.8,122.4,87.3,11.69,0.132961,0.465639,0.308232,0.308367,0.079303,0.55043,0.1018,0.12,
0.25,3,4,70,70,70,144,144,6255.13,79.8,130.1,86.49,12.36,0.142655,0.570642,0.313783,0.309685,0.087673,0.55467,0.1013,0.12,
0.25,3,5,70,70,70,123,123,5378.63,79.8,113,87.58,11.49,0.162596,0.567483,0.309358,0.31041,0.08108,0.55151,0.1019,0.12,
0.25,3,6,70,70,70,143,143,5854.1,79.8,130.1,85.32,11.94,0.129954,0.522092,0.313157,0.32171,0.087342,0.55374,0.1019,0.12,
0.25,3,7,70,70,70,129,129,6014.68,79.8,117.1,87.43,12.02,0.114992,0.452554,0.298864,0.302717,0.079252,0.54142,0.099,0.12,
0.25,3,8,70,70,70,148,148,5385.87,79.8,138.8,88.75,11.46,0.194891,0.549806,0.317307,0.308806,0.080034,0.55899,0.1032,0.12,
0.25,3,9,70,70,70,180,180,5800.41,79.8,170.1,89.47,11.97,0.148194,0.467824,0.310609,0.305712,0.083813,0.55203,0.1024,0.12,
0.25,3.5,0,70,70,70,151,151,5915.65,79.8,140.5,89.72,13.12,0.130888,0.531488,0.289962,0.280073,0.081597,0.53335,0.0965,0.12,
0.25,3.5,1,70,70,70,137,137,5453.07,79.8,125.1,91.66,12.21,0.135589,0.489844,0.293576,0.285904,0.079501,0.537,0.0996,0.12,
0.25,3.5,2,70,70,70,130,130,5373.71,79.8,120.1,89.28,11.94,0.099317,0.509746,0.305917,0.320278,0.094856,0.54586,0.0996,0.12,
0.25,3.5,3,70,70,70,135,135,5469.73,79.8,125.8,89.82,12.09,0.142173,0.494081,0.315529,0.311625,0.082819,0.55684,0.1029,0.12,
0.25,3.5,4,70,70,70,159,159,6255.13,79.8,145.1,89.79,12.86,0.153345,0.592285,0.319665,0.310827,0.09132,0.55962,0.102,0.12,
0.25,3.5,5,70,70,70,133,133,5378.63,79.8,123,91.19,11.82,0.167127,0.613519,0.310722,0.306817,0.085672,0.55226,0.102,0.12,
0.25,3.5,6,70,70,70,148,148,5854.1,79.8,135.1,88.84,12.4,0.133533,0.522253,0.314532,0.308479,0.088943,0.55487,0.1018,0.12,
0.25,3.5,7,70,70,70,134,134,6014.68,79.8,121,90.07,12.52,0.11451,0.46675,0.309562,0.320434,0.083269,0.55082,0.1007,0.12,
0.25,3.5,8,70,70,70,180,180,5385.87,79.8,170.1,93.52,11.89,0.181005,0.583681,0.315648,0.316551,0.0845,0.55702,0.1024,0.12,
0.25,3.5,9,70,70,70,180,180,5800.41,79.8,170.1,94.03,12.21,0.140396,0.478477,0.307797,0.302532,0.079885,0.54998,0.1022,0.12,
0.25,4,0,70,70,70,154,154,5915.65,79.8,143.7,91.76,13.46,0.132729,0.536682,0.294708,0.284325,0.082509,0.53763,0.0971,0.12,
0.25,4,1,70,70,70,152,152,5453.07,79.8,140.1,94.06,12.61,0.128959,0.484996,0.295513,0.293588,0.077835,0.53887,0.0999,0.12,
0.25,4,2,70,70,70,157,157,5373.71,79.8,143.2,93.52,12.29,0.102646,0.475926,0.301387,0.306492,0.092336,0.5421,0.0989,0.12,
0.25,4,3,70,70,70,149,149,5469.73,79.8,140.1,92.52,12.29,0.149826,0.516797,0.318827,0.31972,0.081328,0.56003,0.1035,0.12,
0.25,4,4,70,70,70,164,164,6255.13,79.8,150.1,92.66,13.28,0.150991,0.607088,0.322378,0.313323,0.092169,0.56202,0.1024,0.12,
0.25,4,5,70,70,70,165,165,5378.63,79.8,155.3,93.52,12.25,0.163956,0.620617,0.314328,0.314196,0.084216,0.55579,0.1029,0.12,
0.25,4,6,70,70,70,169,169,5854.1,79.8,156.6,91.16,12.73,0.137093,0.525905,0.317835,0.319992,0.08868,0.55792,0.1024,0.12,
0.25,4,7,70,70,70,136,136,6014.68,79.8,124.1,91.25,12.72,0.114872,0.466583,0.31743,0.32784,0.084324,0.55789,0.102,0.12,
0.25,4,8,70,70,70,182,182,5385.87,79.8,172.4,97.09,12.25,0.153636,0.568947,0.311086,0.311126,0.087718,0.55229,0.1018,0.12,
0.25,4,9,70,70,70,185,185,5800.41,79.8,175.1,97.23,12.74,0.145021,0.483356,0.310687,0.313298,0.077092,0.55296,0.103,0.12,
0.25,4.5,0,70,70,70,161,161,5915.65,79.8,152.6,93.87,13.77,0.134806,0.541754,0.29906,0.292322,0.085014,0.54138,0.0979,0.12,
