I_U,T_INT,seed,nodes_measured,n_targets,total_assignments,sim_elapsed_s,total_survey_time_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,var_Ubar_min,var_Ubar_max,var_Ubar_mean,var_Ubar_median,var_Ubar_std,sigma_Ubar_mean,ci_rel_mean,ci_rel_max,error
0.25,3,0,70,70,70,133,133,5915.65,79.8,122.8,83.95,12.51,0.129226,0.607791,0.295036,0.277538,0.099145,0.53633,0.0974,0.1299,
0.25,3,1,70,70,70,127,127,5453.07,79.8,115.1,86.87,11.68,0.128416,0.545399,0.300547,0.282943,0.093848,0.54198,0.1005,0.13,
0.25,3,2,70,70,70,118,118,5373.71,79.8,105.7,85.38,11.4,0.096594,0.559087,0.306868,0.307914,0.10366,0.5457,0.0996,0.13,
0.25,3,3,70,70,70,127,127,5469.73,79.8,116.7,85.98,11.68,0.132961,0.536938,0.319881,0.308892,0.092744,0.55954,0.1036,0.13,
0.25,3,4,70,70,70,122,122,6255.13,79.8,110.1,85.47,12.35,0.142655,0.589484,0.320619,0.309685,0.097159,0.55984,0.1025,0.13,
0.25,3,5,70,70,70,123,123,5378.63,79.8,113,86.49,11.43,0.162596,0.591846,0.31661,0.31041,0.091035,0.55709,0.1031,0.13,
0.25,3,6,70,70,70,138,138,5854.1,79.8,125.1,84.23,11.92,0.129954,0.540787,0.322011,0.32171,0.097429,0.56061,0.1034,0.13,
0.25,3,7,70,70,70,129,129,6014.68,79.8,117.1,86.35,12.02,0.114992,0.52749,0.308436,0.302717,0.093619,0.54874,0.1004,0.1299,
0.25,3,8,70,70,70,136,136,5385.87,79.8,125.1,87.73,11.53,0.194891,0.57886,0.321034,0.308806,0.084287,0.56193,0.104,0.13,
0.25,3,9,70,70,70,141,141,5800.41,79.8,131.7,86.85,11.86,0.148194,0.534024,0.323005,0.308621,0.098555,0.56162,0.1043,0.13,
0.25,3.5,0,70,70,70,137,137,5915.65,79.8,126.2,87.44,13.14,0.130888,0.616336,0.298968,0.280073,0.0963,0.54026,0.0981,0.13,
