I_U,T_INT,seed,nodes_measured,n_targets,total_assignments,sim_elapsed_s,total_survey_time_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,var_Ubar_min,var_Ubar_max,var_Ubar_mean,var_Ubar_median,var_Ubar_std,sigma_Ubar_mean,ci_rel_mean,ci_rel_max,error
0.25,3,0,70,70,70,361,361,5915.65,110.1,350.1,217.95,14.9,0.093638,0.133548,0.10805,0.107326,0.009215,0.32842,0.0597,0.06,
0.25,3,1,70,70,70,316,316,5453.07,108.9,306.2,204.76,13.82,0.084116,0.128756,0.106192,0.106389,0.0097,0.32553,0.0596,0.06,
0.25,3,2,70,70,70,375,375,5373.71,79.8,365.1,223.21,13.94,0.080996,0.135644,0.106627,0.105649,0.010281,0.32617,0.0595,0.06,
0.25,3,3,70,70,70,406,406,5469.73,105.2,393.3,232.49,14.16,0.088832,0.126189,0.106032,0.104796,0.008788,0.32535,0.0596,0.06,
0.25,3,4,70,70,70,396,396,6255.13,92.7,383.4,243.27,15.05,0.087626,0.127181,0.107286,0.108233,0.008374,0.3273,0.0596,0.06,
0.25,3,5,70,70,70,430,430,5378.63,100.1,420.1,243.07,14.2,0.090497,0.124594,0.106826,0.10665,0.008699,0.32658,0.0595,0.06,
0.25,3,6,70,70,70,354,354,5854.1,79.8,344.1,234.8,14.5,0.087202,0.136142,0.107072,0.106414,0.009853,0.32688,0.0595,0.06,
0.25,3,7,70,70,70,348,348,6014.68,79.8,335.1,216.87,14.3,0.087814,0.13027,0.106694,0.107278,0.009907,0.32629,0.0596,0.06,
0.25,3,8,70,70,70,368,368,5385.87,116.7,356.5,242.59,14.18,0.088594,0.124557,0.105994,0.105388,0.008716,0.32529,0.0596,0.06,
0.25,3,9,70,70,70,352,352,5800.41,90.1,340.1,230.36,14.36,0.085996,0.125482,0.10641,0.106163,0.009005,0.32592,0.0597,0.06,
0.25,3.5,0,70,70,70,366,366,5915.65,111,355.1,226.68,15.94,0.087817,0.135191,0.108128,0.106564,0.010349,0.32846,0.0596,0.06,
0.25,3.5,1,70,70,70,329,329,5453.07,109.9,318.5,213.36,14.67,0.082337,0.130678,0.105883,0.105463,0.01039,0.325,0.0595,0.06,
0.25,3.5,2,70,70,70,385,385,5373.71,79.8,375.1,232.22,14.95,0.078588,0.138506,0.106717,0.107355,0.009957,0.32632,0.0595,0.06,
0.25,3.5,3,70,70,70,418,418,5469.73,106.2,405.1,242.77,15.42,0.087057,0.126932,0.105595,0.104879,0.009681,0.32462,0.0594,0.06,
0.25,3.5,4,70,70,70,408,408,6255.13,95.1,395.1,254.25,16.08,0.089369,0.128474,0.106835,0.10602,0.008619,0.32659,0.0595,0.06,
0.25,3.5,5,70,70,70,435,435,5378.63,100.8,425.1,256.46,15.2,0.085357,0.128548,0.106775,0.104435,0.009556,0.32645,0.0595,0.06,
0.25,3.5,6,70,70,70,377,377,5854.1,80.7,365.1,249.55,15.58,0.084136,0.144222,0.106983,0.106779,0.011168,0.32665,0.0595,0.06,
0.25,3.5,7,70,70,70,353,353,6014.68,79.8,340.1,228,15.29,0.084495,0.130967,0.106555,0.105964,0.010417,0.32604,0.0596,0.06,
0.25,3.5,8,70,70,70,377,377,5385.87,120.1,365.1,255.55,15.06,0.086279,0.125218,0.105539,0.104665,0.009526,0.32454,0.0595,0.06,
0.25,3.5,9,70,70,70,402,402,5800.41,94.4,390.1,241.1,15.11,0.087398,0.128262,0.106217,0.104142,0.009763,0.32557,0.0596,0.06,
0.25,4,0,70,70,70,451,451,5915.65,114.5,440.1,233.88,16.59,0.090533,0.136269,0.108041,0.106309,0.010071,0.32835,0.0595,0.06,
0.25,4,1,70,70,70,421,421,5453.07,110.1,410.1,223.85,15.36,0.079579,0.132091,0.106407,0.106186,0.010558,0.3258,0.0596,0.06,
0.25,4,2,70,70,70,405,405,5373.71,79.8,395.3,239.67,15.45,0.076366,0.144627,0.106955,0.107725,0.010836,0.32663,0.0595,0.06,
0.25,4,3,70,70,70,418,418,5469.73,106.8,405.1,248.34,15.79,0.09132,0.130617,0.106414,0.105949,0.009946,0.32587,0.0596,0.06,
0.25,4,4,70,70,70,414,414,6255.13,95.1,401.8,262.06,16.74,0.089772,0.130572,0.10788,0.10888,0.009966,0.32811,0.0597,0.06,
0.25,4,5,70,70,70,440,440,5378.63,101.5,430.1,268.57,15.93,0.088663,0.126929,0.106556,0.105759,0.00969,0.3261,0.0595,0.06,
0.25,4,6,70,70,70,471,471,5854.1,115.9,460.1,266.06,16.36,0.081996,0.132289,0.10713,0.106225,0.011503,0.32684,0.0594,0.06,
0.25,4,7,70,70,70,388,388,6014.68,79.8,375.1,241.95,15.96,0.080878,0.132506,0.106198,0.107129,0.010908,0.32545,0.0595,0.06,
0.25,4,8,70,70,70,410,410,5385.87,120.1,400.1,265.23,15.63,0.085523,0.128463,0.105785,0.104169,0.009854,0.3249,0.0596,0.06,
0.25,4,9,70,70,70,484,484,5800.41,95.1,475.1,250.22,15.83,0.085817,0.127779,0.106233,0.105737,0.009788,0.3256,0.0596,0.06,
