I_U,T_INT,seed,nodes_measured,n_targets,total_assignments,sim_elapsed_s,total_survey_time_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,var_Ubar_min,var_Ubar_max,var_Ubar_mean,var_Ubar_median,var_Ubar_std,sigma_Ubar_mean,ci_rel_mean,ci_rel_max,error
0.25,3,0,70,70,70,148,148,5915.65,79.8,137.7,88.53,12.74,0.129226,0.434362,0.276023,0.277538,0.065544,0.52163,0.0944,0.11,
0.25,3,1,70,70,70,138,138,5453.07,79.8,129.1,90.57,12,0.128416,0.409852,0.278504,0.282943,0.060994,0.52448,0.097,0.11,
0.25,3,2,70,70,70,139,139,5373.71,79.8,128.1,88.55,11.79,0.096594,0.443697,0.282456,0.294543,0.076981,0.52605,0.0958,0.11,
0.25,3,3,70,70,70,139,139,5469.73,79.8,129.7,89.89,11.89,0.132961,0.464313,0.29269,0.297752,0.065875,0.53746,0.0991,0.11,
0.25,3,4,70,70,70,164,164,6255.13,79.8,150.1,90.23,12.62,0.142655,0.440967,0.296442,0.305172,0.066391,0.54083,0.0987,0.11,
0.25,3,5,70,70,70,168,168,5378.63,79.8,158.4,90.81,11.76,0.162596,0.516802,0.295163,0.30131,0.066158,0.53987,0.0996,0.11,
0.25,3,6,70,70,70,180,180,5854.1,79.8,167.1,90,12.25,0.129954,0.452775,0.293884,0.305578,0.073256,0.53756,0.0986,0.11,
0.25,3,7,70,70,70,137,137,6014.68,79.8,123.6,89.47,12.34,0.114992,0.402281,0.287979,0.301702,0.067214,0.53249,0.0972,0.11,
0.25,3,8,70,70,70,180,180,5385.87,79.8,170.1,93.34,11.81,0.194891,0.502668,0.29736,0.296019,0.063505,0.54231,0.0999,0.11,
0.25,3,9,70,70,70,185,185,5800.41,79.8,175.1,94.28,12.21,0.148194,0.393809,0.286961,0.296613,0.064053,0.53218,0.0986,0.11,
0.25,3.5,0,70,70,70,151,151,5915.65,79.8,140.5,91.2,13.06,0.130888,0.443279,0.279112,0.276009,0.06571,0.52458,0.0949,0.11,
0.25,3.5,1,70,70,70,157,157,5453.07,79.8,145.1,94.32,12.25,0.135589,0.409735,0.277229,0.28467,0.05737,0.52359,0.097,0.11,
0.25,3.5,2,70,70,70,153,153,5373.71,79.8,140.1,93.47,11.94,0.099317,0.442806,0.283583,0.290631,0.079454,0.52687,0.0961,0.11,
0.25,3.5,3,70,70,70,143,143,5469.73,79.8,133.1,93.15,11.87,0.142173,0.45571,0.295641,0.291563,0.067085,0.54019,0.0995,0.11,
0.25,3.5,4,70,70,70,164,164,6255.13,79.8,150.1,93.52,12.81,0.153345,0.445048,0.297115,0.302449,0.068389,0.54131,0.0986,0.11,
0.25,3.5,5,70,70,70,175,175,5378.63,79.8,165.1,94.53,11.83,0.167127,0.514756,0.293432,0.29978,0.067325,0.53809,0.0993,0.11,
0.25,3.5,6,70,70,70,183,183,5854.1,79.8,170.1,93.6,12.44,0.133533,0.436163,0.294789,0.305252,0.071912,0.53855,0.0986,0.11,
0.25,3.5,7,70,70,70,139,139,6014.68,79.8,125.1,92.54,12.49,0.11451,0.420934,0.293314,0.309451,0.068195,0.53743,0.0981,0.11,
0.25,3.5,8,70,70,70,185,185,5385.87,79.8,175.1,99.54,11.9,0.181005,0.519412,0.296951,0.29684,0.067438,0.54156,0.0995,0.11,
0.25,3.5,9,70,70,70,185,185,5800.41,79.8,175.1,97.51,12.26,0.140396,0.419783,0.288447,0.297425,0.062165,0.53379,0.0991,0.11,
0.25,4,0,70,70,70,154,154,5915.65,79.8,143.7,93.69,13.38,0.132729,0.439769,0.28494,0.283068,0.068756,0.52978,0.0957,0.11,
0.25,4,1,70,70,70,159,159,5453.07,79.8,147.6,96.83,12.44,0.128959,0.414805,0.280719,0.28862,0.059363,0.52667,0.0977,0.11,
0.25,4,2,70,70,70,157,157,5373.71,79.8,143.2,96.69,12.24,0.102646,0.475926,0.285101,0.288038,0.080579,0.5283,0.0965,0.11,
0.25,4,3,70,70,70,154,154,5469.73,79.8,145.1,96.19,12.39,0.149826,0.456048,0.297315,0.290617,0.066051,0.54189,0.0998,0.11,
0.25,4,4,70,70,70,174,174,6255.13,79.8,160.1,96.78,13.28,0.150991,0.44776,0.299296,0.30144,0.067522,0.54347,0.0991,0.11,
0.25,4,5,70,70,70,179,179,5378.63,79.8,169.5,95.88,12.24,0.163956,0.541895,0.298014,0.299979,0.068606,0.54233,0.1001,0.11,
0.25,4,6,70,70,70,188,188,5854.1,79.8,175.1,96.17,12.79,0.137093,0.439661,0.295617,0.306755,0.073741,0.53917,0.0986,0.11,
0.25,4,7,70,70,70,139,139,6014.68,79.8,130.1,94.41,12.83,0.114872,0.43053,0.298386,0.306569,0.068772,0.54215,0.0991,0.11,
0.25,4,8,70,70,70,190,190,5385.87,79.8,180.1,103.16,12.46,0.153636,0.528916,0.290773,0.288914,0.070165,0.53541,0.0985,0.11,
0.25,4,9,70,70,70,190,190,5800.41,79.8,180.1,100.23,12.86,0.145021,0.438575,0.289972,0.293423,0.060195,0.53546,0.0998,0.11,
0.25,4.5,0,70,70,70,161,161,5915.65,79.8,152.6,96.44,13.69,0.134806,0.454505,0.288539,0.291097,0.071021,0.53293,0.0962,0.11,
0.25,4.5,1,70,70,70,178,178,5453.07,79.8,165.1,100.75,12.67,0.125548,0.416861,0.279589,0.283549,0.063909,0.5251,0.0973,0.11,
0.25,4.5,2,70,70,70,164,164,5373.71,79.8,150.9,98.38,12.44,0.106362,0.492559,0.286051,0.283185,0.08256,0.52902,0.0967,0.11,
0.25,4.5,3,70,70,70,214,214,5469.73,79.8,201.1,99.63,12.49,0.156197,0.446945,0.296979,0.293715,0.06905,0.54121,0.0997,0.11,
0.25,4.5,4,70,70,70,174,174,6255.13,79.8,160.1,100.54,13.46,0.153392,0.452409,0.299581,0.304196,0.070241,0.5434,0.0992,0.11,
0.25,4.5,5,70,70,70,182,182,5378.63,79.8,172.3,100.99,12.47,0.155263,0.500505,0.294109,0.291216,0.068132,0.53865,0.0993,0.11,
0.25,4.5,6,70,70,70,188,188,5854.1,79.8,175.1,99.74,12.97,0.140619,0.441889,0.295684,0.305184,0.074301,0.53925,0.099,0.11,
0.25,4.5,7,70,70,70,143,143,6014.68,79.8,130.2,96.76,12.88,0.115811,0.433596,0.299933,0.306768,0.06933,0.54357,0.0993,0.11,
0.25,4.5,8,70,70,70,190,190,5385.87,79.8,180.1,105.66,12.31,0.147352,0.535582,0.293298,0.290101,0.075039,0.5373,0.099,0.11,
0.25,4.5,9,70,70,70,190,190,5800.41,79.8,180.1,103.53,12.82,0.159784,0.447162,0.289951,0.293025,0.063863,0.53513,0.0997,0.11,
0.25,5,0,70,70,70,178,178,5915.65,79.8,166.6,100.88,13.8,0.139806,0.450724,0.283287,0.283935,0.070953,0.52784,0.0951,0.11,
0.25,5,1,70,70,70,197,197,5453.07,79.8,184.9,105.86,12.82,0.108625,0.421578,0.275018,0.27472,0.066278,0.52039,0.0964,0.11,
0.25,5,2,70,70,70,168,168,5373.71,79.8,154.4,103.85,12.58,0.110259,0.494145,0.285252,0.281483,0.080806,0.52849,0.0964,0.11,
0.25,5,3,70,70,70,221,221,5469.73,79.8,209,104.59,12.94,0.122629,0.462608,0.288576,0.290018,0.074793,0.53259,0.0978,0.11,
0.25,5,4,70,70,70,176,176,6255.13,79.8,162.3,104.49,13.75,0.093286,0.459468,0.2964,0.298373,0.076991,0.53943,0.0983,0.11,
0.25,5,5,70,70,70,256,256,5378.63,79.8,245.1,106.92,12.73,0.149204,0.522376,0.292235,0.288248,0.069791,0.53674,0.0989,0.11,
0.25,5,6,70,70,70,191,191,5854.1,79.8,178.8,104,13.25,0.144077,0.445449,0.288216,0.288015,0.071165,0.53261,0.0977,0.11,
0.25,5,7,70,70,70,156,156,6014.68,79.8,146.3,100.37,12.99,0.117196,0.442542,0.295495,0.29873,0.06981,0.53945,0.0986,0.11,
0.25,5,8,70,70,70,219,219,5385.87,79.8,209.6,110.1,12.78,0.136996,0.521444,0.292638,0.286697,0.073307,0.53687,0.0989,0.11,
0.25,5,9,70,70,70,195,195,5800.41,79.8,185.1,106.82,13.09,0.160686,0.452973,0.284271,0.28378,0.061936,0.52996,0.0986,0.11,
0.25,5.5,0,70,70,70,180,180,5915.65,79.8,168.8,104.58,14.44,0.133411,0.455198,0.2801,0.285996,0.075194,0.52418,0.0943,0.11,
0.25,5.5,1,70,70,70,230,230,5453.07,79.8,220.1,108.84,13.42,0.096533,0.426568,0.268761,0.256931,0.064032,0.51457,0.0954,0.11,
0.25,5.5,2,70,70,70,189,189,5373.71,79.8,175.1,107.67,13.18,0.114034,0.442014,0.28453,0.282696,0.07676,0.52836,0.0965,0.11,
0.25,5.5,3,70,70,70,225,225,5469.73,79.8,213,107.41,13.1,0.148113,0.458356,0.286767,0.289222,0.076645,0.53074,0.0974,0.11,
0.25,5.5,4,70,70,70,218,218,6255.13,79.8,205.1,109.45,14.11,0.104872,0.455119,0.290152,0.296485,0.073352,0.53405,0.0975,0.11,
0.25,5.5,5,70,70,70,256,256,5378.63,79.8,245.1,109.68,13.05,0.148284,0.529479,0.288277,0.282279,0.073781,0.53259,0.0981,0.11,
0.25,5.5,6,70,70,70,193,193,5854.1,79.8,180.1,107.07,13.4,0.141482,0.449055,0.281409,0.275426,0.073931,0.52584,0.0966,0.11,
0.25,5.5,7,70,70,70,177,177,6014.68,79.8,164.4,105.84,13.45,0.118944,0.42017,0.285574,0.296998,0.069764,0.53003,0.097,0.11,
0.25,5.5,8,70,70,70,222,222,5385.87,79.8,212.9,114.24,12.94,0.144148,0.530368,0.284977,0.279668,0.072699,0.52962,0.0977,0.11,
0.25,5.5,9,70,70,70,199,199,5800.41,79.8,188.7,110.29,13.44,0.152364,0.432408,0.280627,0.282679,0.05775,0.52685,0.0981,0.11,
0.25,6,0,70,70,70,183,183,5915.65,79.8,171.1,107.81,14.46,0.125874,0.459911,0.278308,0.284408,0.076842,0.52223,0.0939,0.11,
0.25,6,1,70,70,70,234,234,5453.07,79.8,224.6,112.3,13.52,0.096003,0.433078,0.263261,0.255217,0.070555,0.5084,0.094,0.11,
0.25,6,2,70,70,70,218,218,5373.71,79.8,209,112.37,13.27,0.117456,0.45761,0.279812,0.280368,0.079002,0.52362,0.0958,0.11,
0.25,6,3,70,70,70,228,228,5469.73,79.8,215.9,110.71,13.41,0.168814,0.478492,0.279691,0.273658,0.076788,0.52411,0.0961,0.11,
0.25,6,4,70,70,70,219,219,6255.13,79.8,206.9,112.83,14.3,0.113543,0.44543,0.284392,0.288232,0.073987,0.52855,0.0966,0.11,
0.25,6,5,70,70,70,267,267,5378.63,79.8,256.9,114.29,13.24,0.111782,0.525771,0.282391,0.274039,0.080137,0.5262,0.0966,0.11,
0.25,6,6,70,70,70,211,211,5854.1,79.8,201,112.05,13.8,0.128689,0.452129,0.271571,0.263104,0.072556,0.51639,0.0948,0.11,
0.25,6,7,70,70,70,181,181,6014.68,79.8,168.6,109.59,13.76,0.120924,0.482707,0.282571,0.291791,0.07417,0.52676,0.0965,0.11,
0.25,6,8,70,70,70,246,246,5385.87,79.8,234.8,118.56,13.38,0.141915,0.503486,0.285495,0.277698,0.072232,0.53022,0.0977,0.11,
0.25,6,9,70,70,70,205,205,5800.41,79.8,194.1,113.78,13.64,0.138568,0.456183,0.276573,0.279668,0.059972,0.52268,0.0974,0.11,
0.25,6.5,0,70,70,70,186,186,5915.65,79.8,174.8,109.61,14.6,0.119585,0.465027,0.283354,0.273549,0.079045,0.52686,0.0946,0.11,
0.25,6.5,1,70,70,70,235,235,5453.07,79.8,225.1,116.4,13.71,0.093127,0.423247,0.257395,0.253716,0.072295,0.50229,0.0931,0.11,
0.25,6.5,2,70,70,70,231,231,5373.71,79.8,220.1,113.89,13.51,0.120573,0.478128,0.280286,0.276733,0.077494,0.52429,0.0959,0.11,
0.25,6.5,3,70,70,70,234,234,5469.73,79.8,221.2,113.83,13.64,0.118271,0.4864,0.275426,0.275563,0.079971,0.51945,0.0953,0.11,
0.25,6.5,4,70,70,70,223,223,6255.13,79.8,210.1,114.75,14.57,0.148947,0.447376,0.283566,0.282507,0.073164,0.528,0.0965,0.11,
0.25,6.5,5,70,70,70,299,299,5378.63,79.8,288.5,118.19,13.49,0.121011,0.539479,0.276123,0.256475,0.080485,0.52011,0.0954,0.11,
0.25,6.5,6,70,70,70,213,213,5854.1,79.8,202.7,113.07,13.94,0.139044,0.455431,0.277578,0.265875,0.076999,0.52176,0.0958,0.11,
0.25,6.5,7,70,70,70,220,220,6014.68,79.8,210.1,111.62,14.09,0.123099,0.446314,0.283264,0.289137,0.075636,0.52725,0.0965,0.11,
0.25,6.5,8,70,70,70,250,250,5385.87,79.8,238.2,123.9,13.55,0.133765,0.502562,0.283156,0.27884,0.073016,0.52784,0.0973,0.11,
0.25,6.5,9,70,70,70,209,209,5800.41,79.8,199,115.8,13.92,0.135326,0.400521,0.269775,0.269843,0.05999,0.51602,0.0965,0.11,
0.25,7,0,70,70,70,232,232,5915.65,79.8,218.9,114.95,14.96,0.11466,0.471261,0.279074,0.277503,0.081619,0.52239,0.0937,0.11,
0.25,7,1,70,70,70,240,240,5453.07,79.8,230.1,119.04,13.98,0.092052,0.430017,0.251974,0.246128,0.075059,0.4964,0.0917,0.11,
0.25,7,2,70,70,70,234,234,5373.71,79.8,223.3,116.72,13.72,0.123429,0.485275,0.275981,0.267383,0.077275,0.52023,0.0953,0.11,
0.25,7,3,70,70,70,237,237,5469.73,79.8,224.3,115.08,13.7,0.124821,0.491143,0.274189,0.276613,0.077299,0.5185,0.0952,0.11,
0.25,7,4,70,70,70,230,230,6255.13,79.8,218.6,119.15,14.72,0.139599,0.526671,0.275402,0.269944,0.074395,0.52013,0.095,0.11,
0.25,7,5,70,70,70,305,305,5378.63,79.8,294.5,120.5,13.7,0.133841,0.468775,0.277324,0.262667,0.075391,0.52178,0.0963,0.11,
0.25,7,6,70,70,70,218,218,5854.1,79.8,208,115.53,14.12,0.133496,0.431084,0.276838,0.272381,0.077129,0.52097,0.0958,0.11,
0.25,7,7,70,70,70,220,220,6014.68,79.8,210.1,115.97,14.23,0.125582,0.490779,0.281502,0.283793,0.081641,0.52486,0.0959,0.11,
0.25,7,8,70,70,70,254,254,5385.87,79.8,242.1,126.96,13.74,0.134283,0.479117,0.280739,0.278676,0.075047,0.52525,0.0968,0.11,
0.25,7,9,70,70,70,218,218,5800.41,79.8,206.7,121.45,14.19,0.115367,0.4145,0.264969,0.27207,0.062755,0.51091,0.0953,0.11,
0.26,3,0,70,70,70,149,149,5915.65,79.8,138.2,90.21,14.53,0.135072,0.433881,0.283437,0.288885,0.064529,0.52889,0.0957,0.11,
0.26,3,1,70,70,70,157,157,5453.07,79.8,145.1,92.73,13.48,0.133742,0.412156,0.286481,0.291847,0.057966,0.5324,0.0986,0.11,
0.26,3,2,70,70,70,139,139,5373.71,79.8,128.9,90.22,13.25,0.100618,0.447507,0.291668,0.301847,0.078271,0.53469,0.0974,0.11,
0.26,3,3,70,70,70,144,144,5469.73,79.8,132.8,92.25,13.45,0.138375,0.429494,0.298913,0.301635,0.065437,0.54335,0.1001,0.11,
0.26,3,4,70,70,70,164,164,6255.13,79.8,150.1,92.08,14.27,0.149136,0.439791,0.304499,0.313569,0.066368,0.54831,0.0999,0.11,
0.26,3,5,70,70,70,175,175,5378.63,79.8,165.5,93.31,13.24,0.172726,0.496653,0.301858,0.312165,0.063299,0.54636,0.1008,0.11,
0.26,3,6,70,70,70,183,183,5854.1,79.8,170.1,92.27,13.74,0.134968,0.434544,0.300155,0.313263,0.070948,0.5437,0.0996,0.11,
0.26,3,7,70,70,70,139,139,6014.68,79.8,125.1,90.77,13.89,0.12209,0.416069,0.29863,0.317098,0.066935,0.54255,0.099,0.11,
0.26,3,8,70,70,70,183,183,5385.87,79.8,174,96.27,13.24,0.202897,0.516824,0.306317,0.304832,0.062282,0.55074,0.1013,0.11,
0.26,3,9,70,70,70,185,185,5800.41,79.8,175.1,96.85,13.69,0.156485,0.411847,0.293128,0.306896,0.063638,0.53808,0.0998,0.11,
0.26,3.5,0,70,70,70,152,152,5915.65,79.8,141.9,93.32,14.4,0.136833,0.441324,0.290077,0.290287,0.068922,0.53467,0.0965,0.11,
0.26,3.5,1,70,70,70,159,159,5453.07,79.8,147.4,96.39,13.37,0.141145,0.41389,0.286981,0.294266,0.057917,0.53282,0.0988,0.11,
0.26,3.5,2,70,70,70,155,155,5373.71,79.8,142.3,96.28,13.28,0.103431,0.474879,0.289112,0.29409,0.081664,0.53195,0.0972,0.11,
0.26,3.5,3,70,70,70,193,193,5469.73,79.8,180.1,96.85,13.51,0.148092,0.454042,0.305389,0.300479,0.065793,0.54937,0.101,0.11,
0.26,3.5,4,70,70,70,168,168,6255.13,79.8,154.3,95.33,14.38,0.16052,0.450993,0.306723,0.311782,0.066912,0.55039,0.1003,0.11,
0.26,3.5,5,70,70,70,182,182,5378.63,79.8,172.7,96.65,13.26,0.170221,0.538661,0.303009,0.309514,0.067188,0.54706,0.1009,0.11,
0.26,3.5,6,70,70,70,188,188,5854.1,79.8,175.1,96.39,13.77,0.138658,0.436174,0.300808,0.30991,0.072624,0.54412,0.0994,0.11,
0.26,3.5,7,70,70,70,141,141,6014.68,79.8,130.1,94.4,13.79,0.1214,0.429705,0.302643,0.315614,0.06816,0.54617,0.0997,0.11,
0.26,3.5,8,70,70,70,190,190,5385.87,79.8,180.1,102.36,13.25,0.164996,0.508292,0.298752,0.305602,0.069792,0.5429,0.0997,0.11,
0.26,3.5,9,70,70,70,190,190,5800.41,79.8,180.1,99.42,13.68,0.146955,0.430222,0.295107,0.303263,0.061372,0.54014,0.1003,0.11,
0.26,4,0,70,70,70,167,167,5915.65,79.8,155.3,96.15,14.56,0.13874,0.454608,0.294131,0.295185,0.070733,0.5383,0.0969,0.11,
0.26,4,1,70,70,70,178,178,5453.07,79.8,165.1,100.26,13.63,0.130818,0.414755,0.28648,0.286502,0.060486,0.53206,0.0985,0.11,
0.26,4,2,70,70,70,160,160,5373.71,79.8,146.1,98.54,13.46,0.10694,0.468335,0.295355,0.291648,0.079968,0.53818,0.0982,0.11,
0.26,4,3,70,70,70,211,211,5469.73,79.8,198.4,99.99,13.6,0.156123,0.450395,0.305728,0.304191,0.065826,0.54967,0.1011,0.11,
0.26,4,4,70,70,70,174,174,6255.13,79.8,160.1,98.91,14.62,0.159227,0.457756,0.308205,0.309171,0.068856,0.55156,0.1005,0.11,
0.26,4,5,70,70,70,256,256,5378.63,79.8,245.1,102.25,13.46,0.171366,0.507642,0.3031,0.309484,0.06486,0.54737,0.1007,0.11,
0.26,4,6,70,70,70,189,189,5854.1,79.8,176.1,100.03,13.91,0.142381,0.442791,0.300369,0.302681,0.073101,0.54376,0.0996,0.11,
0.26,4,7,70,70,70,169,169,6014.68,79.8,156.2,97.66,13.98,0.12158,0.415139,0.306353,0.317758,0.068137,0.54962,0.1005,0.11,
0.26,4,8,70,70,70,190,190,5385.87,79.8,180.1,105.69,13.53,0.16098,0.530525,0.299366,0.30074,0.069824,0.54348,0.1001,0.11,
0.26,4,9,70,70,70,192,192,5800.41,79.8,182.2,103.53,13.91,0.151949,0.445403,0.297715,0.302942,0.058371,0.54289,0.101,0.11,
0.26,4.5,0,70,70,70,175,175,5915.65,79.8,163.5,100.96,14.79,0.140826,0.450077,0.290604,0.293137,0.076642,0.53418,0.0963,0.11,
0.26,4.5,1,70,70,70,183,183,5453.07,79.8,170.9,104.59,13.93,0.128404,0.423222,0.283131,0.285392,0.062514,0.52869,0.098,0.11,
0.26,4.5,2,70,70,70,166,166,5373.71,79.8,152.5,102.31,13.41,0.111209,0.501436,0.29335,0.294614,0.081584,0.5361,0.098,0.11,
0.26,4.5,3,70,70,70,215,215,5469.73,79.8,202.3,104.41,13.76,0.162792,0.463438,0.299358,0.298219,0.069394,0.54345,0.0999,0.11,
0.26,4.5,4,70,70,70,175,175,6255.13,79.8,161.9,103.71,14.61,0.091238,0.463712,0.305368,0.311162,0.073089,0.54826,0.1,0.11,
0.26,4.5,5,70,70,70,256,256,5378.63,79.8,245.1,106.12,13.49,0.162018,0.53863,0.301643,0.302263,0.067569,0.54579,0.1005,0.11,
0.26,4.5,6,70,70,70,193,193,5854.1,79.8,180.1,103.16,14,0.146013,0.455396,0.300806,0.303726,0.072418,0.54426,0.0998,0.11,
0.26,4.5,7,70,70,70,170,170,6014.68,79.8,157.1,100.83,13.94,0.122366,0.461211,0.302844,0.308111,0.071538,0.54615,0.0998,0.11,
0.26,4.5,8,70,70,70,216,216,5385.87,79.8,206.5,109.25,13.49,0.152908,0.541081,0.299213,0.295965,0.071468,0.54321,0.1002,0.11,
0.26,4.5,9,70,70,70,195,195,5800.41,79.8,185.1,106.27,13.87,0.16639,0.451688,0.295723,0.297964,0.060736,0.54087,0.1006,0.11,
0.26,5,0,70,70,70,179,179,5915.65,79.8,167.3,103.97,14.77,0.144971,0.459281,0.28955,0.291537,0.071832,0.53376,0.0961,0.11,
0.26,5,1,70,70,70,198,198,5453.07,79.8,186,108.95,13.94,0.108817,0.427708,0.280282,0.281987,0.064671,0.52564,0.0972,0.11,
0.26,5,2,70,70,70,169,169,5373.71,79.8,156.5,106.23,13.4,0.115542,0.466987,0.295869,0.300224,0.078853,0.53881,0.0984,0.11,
0.26,5,3,70,70,70,224,224,5469.73,79.8,211.1,107.2,13.76,0.126025,0.470549,0.295987,0.295432,0.07482,0.53963,0.099,0.11,
0.26,5,4,70,70,70,218,218,6255.13,79.8,205.1,109.24,14.62,0.096022,0.468624,0.303082,0.304017,0.074872,0.54594,0.0994,0.11,
0.26,5,5,70,70,70,256,256,5378.63,79.8,245.8,109.01,13.58,0.158035,0.552825,0.302243,0.299129,0.070099,0.54613,0.1005,0.11,
0.26,5,6,70,70,70,215,215,5854.1,79.8,204.8,108.29,14.09,0.149583,0.466277,0.295133,0.295627,0.074125,0.53883,0.0985,0.11,
0.26,5,7,70,70,70,181,181,6014.68,79.8,168.1,104.15,14.07,0.123676,0.448907,0.297388,0.300201,0.067464,0.54154,0.099,0.11,
0.26,5,8,70,70,70,220,220,5385.87,79.8,210.5,113.78,13.61,0.158011,0.549402,0.295602,0.285864,0.071973,0.53987,0.0995,0.11,
0.26,5,9,70,70,70,196,196,5800.41,79.8,185.6,109,14.04,0.167262,0.429223,0.292047,0.29763,0.060404,0.53745,0.1,0.11,
0.26,5.5,0,70,70,70,195,195,5915.65,79.8,183.6,108.52,14.9,0.133923,0.465179,0.288036,0.289785,0.076357,0.53169,0.0955,0.11,
0.26,5.5,1,70,70,70,235,235,5453.07,79.8,225.1,112.68,13.93,0.099767,0.41741,0.272287,0.267227,0.065533,0.51787,0.0958,0.11,
0.26,5.5,2,70,70,70,215,215,5373.71,79.8,206,112.48,13.79,0.11948,0.471753,0.293678,0.286718,0.082521,0.53643,0.098,0.11,
0.26,5.5,3,70,70,70,227,227,5469.73,79.8,214.3,110.32,13.89,0.171417,0.48194,0.28907,0.28559,0.072569,0.53357,0.0981,0.11,
0.26,5.5,4,70,70,70,222,222,6255.13,79.8,209.9,113.99,14.72,0.110932,0.47325,0.297008,0.301606,0.075895,0.54025,0.0985,0.11,
0.26,5.5,5,70,70,70,264,264,5378.63,79.8,253.6,113.44,13.65,0.152911,0.558308,0.294763,0.292273,0.074935,0.53865,0.0991,0.11,
0.26,5.5,6,70,70,70,219,219,5854.1,79.8,208.9,112.95,14.31,0.12992,0.453114,0.280335,0.27211,0.072853,0.52489,0.0962,0.11,
0.26,5.5,7,70,70,70,198,198,6014.68,79.8,185.1,111.09,14.19,0.125304,0.413619,0.287619,0.294298,0.069643,0.5321,0.0974,0.11,
0.26,5.5,8,70,70,70,224,224,5385.87,79.8,214.1,118.85,13.73,0.151143,0.55662,0.291508,0.28395,0.073203,0.53594,0.099,0.11,
