I_U,T_INT,seed,nodes_measured,n_targets,total_assignments,sim_elapsed_s,total_survey_time_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,var_Ubar_min,var_Ubar_max,var_Ubar_mean,var_Ubar_median,var_Ubar_std,sigma_Ubar_mean,ci_rel_mean,ci_rel_max,error
0.25,3,0,70,70,70,346,346,5915.65,79.8,335.7,161.34,13.73,0.121965,0.194565,0.149405,0.14801,0.015392,0.38604,0.0695,0.07,
0.25,3,1,70,70,70,306,306,5453.07,79.8,295.1,155.03,12.79,0.111299,0.177242,0.144387,0.143917,0.014494,0.37951,0.0695,0.07,
0.25,3,2,70,70,70,321,321,5373.71,79.8,311.3,162.12,12.66,0.096594,0.191386,0.145835,0.144329,0.018715,0.38111,0.0693,0.07,
0.25,3,3,70,70,70,295,295,5469.73,79.8,284.8,166.81,12.82,0.12205,0.190357,0.14459,0.141291,0.013522,0.37985,0.0696,0.07,
0.25,3,4,70,70,70,330,330,6255.13,79.8,320.1,172.91,13.59,0.120832,0.172913,0.14674,0.147911,0.012129,0.38274,0.0696,0.07,
0.25,3,5,70,70,70,300,300,5378.63,85.9,290.1,183.32,12.76,0.115738,0.187611,0.14548,0.145271,0.014933,0.38092,0.0695,0.07,
0.25,3,6,70,70,70,315,315,5854.1,79.8,305.1,170.83,13.18,0.105627,0.191678,0.145711,0.144546,0.016487,0.38112,0.0694,0.07,
0.25,3,7,70,70,70,303,303,6014.68,79.8,290.1,165.67,13.18,0.114992,0.178318,0.14418,0.143075,0.015592,0.37916,0.0692,0.07,
0.25,3,8,70,70,70,265,265,5385.87,87.9,253.4,179.36,12.82,0.109128,0.179989,0.142305,0.140179,0.015559,0.37668,0.0693,0.07,
0.25,3,9,70,70,70,286,286,5800.41,81.6,275.1,168.33,13.11,0.114293,0.17704,0.144091,0.14425,0.012417,0.37924,0.0695,0.07,
0.25,3.5,0,70,70,70,351,351,5915.65,79.8,340.1,163.9,14.48,0.120766,0.203769,0.149557,0.14743,0.01692,0.38613,0.0695,0.07,
0.25,3.5,1,70,70,70,306,306,5453.07,79.8,295.1,161.2,13.35,0.110479,0.179854,0.142831,0.142579,0.014362,0.37746,0.0691,0.07,
0.25,3.5,2,70,70,70,325,325,5373.71,79.8,315.1,168.51,13.22,0.099317,0.195019,0.147423,0.14715,0.019282,0.38314,0.0695,0.07,
