I_U,T_INT,seed,nodes_measured,n_targets,total_assignments,sim_elapsed_s,total_survey_time_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,var_Ubar_min,var_Ubar_max,var_Ubar_mean,var_Ubar_median,var_Ubar_std,sigma_Ubar_mean,ci_rel_mean,ci_rel_max,error
0.25,3,0,70,70,70,120,120,5915.65,79.8,107,83.19,13.01,0.129226,0.692821,0.300387,0.277538,0.111509,0.54004,0.0982,0.14,
0.25,3,1,70,70,70,122,122,5453.07,79.8,113,86.03,12.19,0.128416,0.703365,0.310417,0.282943,0.116152,0.54877,0.1017,0.14,
0.25,3,2,70,70,70,117,117,5373.71,79.8,105.7,85.1,11.94,0.096594,0.641296,0.311456,0.307914,0.112748,0.54889,0.1002,0.14,
0.25,3,3,70,70,70,127,127,5469.73,79.8,115.1,85.5,12.09,0.132961,0.570604,0.324842,0.308892,0.100598,0.56317,0.1043,0.1399,
0.25,3,4,70,70,70,122,122,6255.13,79.8,108.1,85.16,12.81,0.142655,0.589484,0.325371,0.309685,0.104303,0.5633,0.1032,0.14,
0.25,3,5,70,70,70,123,123,5378.63,79.8,113,86.47,11.84,0.162596,0.647664,0.317432,0.31041,0.093702,0.55762,0.1032,0.1343,
0.25,3,6,70,70,70,134,134,5854.1,79.8,121.3,83.51,12.39,0.129954,0.566972,0.329139,0.32171,0.10777,0.56582,0.1043,0.1399,
0.25,3,7,70,70,70,129,129,6014.68,79.8,117.1,85.68,12.34,0.114992,0.606292,0.317026,0.30364,0.107525,0.55509,0.1017,0.14,
0.25,3,8,70,70,70,136,136,5385.87,79.8,122.2,86.83,11.9,0.194891,0.595649,0.328025,0.310506,0.094496,0.56718,0.105,0.1399,
0.25,3,9,70,70,70,124,124,5800.41,79.8,111,85.96,12.41,0.148194,0.617465,0.329368,0.308621,0.108586,0.5662,0.1053,0.14,
0.25,3.5,0,70,70,70,137,137,5915.65,79.8,126.2,86.64,13.67,0.130888,0.663956,0.303704,0.280073,0.108486,0.54344,0.0986,0.139,
0.25,3.5,1,70,70,70,132,132,5453.07,79.8,120.1,89.73,12.69,0.135589,0.617988,0.308782,0.285904,0.107988,0.54815,0.1019,0.14,
0.25,3.5,2,70,70,70,130,130,5373.71,79.8,117.4,88.18,12.41,0.099317,0.658959,0.317186,0.320278,0.112694,0.55411,0.1011,0.1399,
0.25,3.5,3,70,70,70,125,125,5469.73,79.8,115.8,87.42,12.47,0.142173,0.56948,0.335871,0.322191,0.104821,0.57253,0.1058,0.14,
0.25,3.5,4,70,70,70,139,139,6255.13,79.8,125.1,88.22,13.35,0.153345,0.594775,0.330489,0.310827,0.106206,0.56765,0.1038,0.1399,
0.25,3.5,5,70,70,70,133,133,5378.63,79.8,123,89.49,12.36,0.167127,0.687969,0.321525,0.306817,0.103303,0.56026,0.1035,0.1374,
0.25,3.5,6,70,70,70,138,138,5854.1,79.8,125.1,86.65,12.76,0.133533,0.63182,0.334954,0.315665,0.113254,0.57041,0.105,0.1389,
0.25,3.5,7,70,70,70,132,132,6014.68,79.8,121,88.45,12.85,0.11451,0.617486,0.322954,0.320434,0.10505,0.56069,0.1027,0.14,
0.25,3.5,8,70,70,70,144,144,5385.87,79.8,132.4,90.58,12.23,0.192473,0.583681,0.325883,0.318481,0.09155,0.56557,0.1047,0.1399,
0.25,3.5,9,70,70,70,133,133,5800.41,79.8,120.6,89.58,12.49,0.140396,0.620294,0.331201,0.309847,0.109755,0.56779,0.1057,0.14,
0.25,4,0,70,70,70,143,143,5915.65,79.8,131.4,88.66,14.18,0.132729,0.692786,0.312252,0.284325,0.114091,0.55052,0.0998,0.14,
0.25,4,1,70,70,70,138,138,5453.07,79.8,127,92.06,12.94,0.128959,0.659498,0.315023,0.293588,0.114373,0.55305,0.1026,0.14,
0.25,4,2,70,70,70,157,157,5373.71,79.8,143.2,91.15,12.78,0.102646,0.682602,0.318509,0.319833,0.114861,0.55516,0.1015,0.14,
0.25,4,3,70,70,70,130,130,5469.73,79.8,120.1,89.12,12.88,0.149826,0.557009,0.342212,0.32405,0.106824,0.57794,0.1071,0.14,
0.25,4,4,70,70,70,144,144,6255.13,79.8,130.1,91.06,13.74,0.150991,0.630317,0.335583,0.313323,0.109525,0.57182,0.1045,0.14,
0.25,4,5,70,70,70,135,135,5378.63,79.8,124.7,90.27,12.67,0.163956,0.719014,0.331806,0.315315,0.110161,0.56879,0.1053,0.1399,
0.25,4,6,70,70,70,138,138,5854.1,79.8,125.1,87.99,13.18,0.137093,0.676115,0.338309,0.327227,0.113204,0.57355,0.1055,0.14,
0.25,4,7,70,70,70,136,136,6014.68,79.8,124.1,89.23,13.24,0.114872,0.615945,0.332757,0.32784,0.105524,0.56933,0.1043,0.14,
0.25,4,8,70,70,70,159,159,5385.87,79.8,146,93.77,12.74,0.180999,0.612034,0.325554,0.318768,0.097528,0.56436,0.1044,0.14,
0.25,4,9,70,70,70,147,147,5800.41,79.8,138,91.67,13.2,0.145021,0.610775,0.337731,0.316004,0.107458,0.5739,0.1072,0.1394,
0.25,4.5,0,70,70,70,161,161,5915.65,79.8,152.6,90.86,14.37,0.134806,0.736544,0.318158,0.292322,0.120159,0.55518,0.1006,0.1399,
0.25,4.5,1,70,70,70,145,145,5453.07,79.8,133.5,95.11,13.17,0.125548,0.67186,0.317747,0.290329,0.117231,0.5549,0.1031,0.1399,
0.25,4.5,2,70,70,70,164,164,5373.71,79.8,150.9,93.61,12.94,0.106362,0.643872,0.318697,0.311757,0.115094,0.55525,0.1017,0.14,
0.25,4.5,3,70,70,70,133,133,5469.73,79.8,124.9,90.88,12.94,0.156197,0.625794,0.345476,0.338346,0.111714,0.58024,0.1074,0.14,
0.25,4.5,4,70,70,70,166,166,6255.13,79.8,152.4,93.92,13.95,0.153392,0.617,0.333046,0.322456,0.106768,0.5698,0.1039,0.14,
0.25,4.5,5,70,70,70,148,148,5378.63,79.8,137,93.87,12.94,0.155263,0.664589,0.331314,0.321171,0.105685,0.56863,0.1054,0.1356,
0.25,4.5,6,70,70,70,154,154,5854.1,79.8,142,90.09,13.41,0.140619,0.68675,0.335723,0.323172,0.111718,0.5716,0.1054,0.1399,
0.25,4.5,7,70,70,70,139,139,6014.68,79.8,128.4,90.68,13.4,0.115811,0.613212,0.336447,0.332924,0.105353,0.57264,0.1048,0.1399,
0.25,4.5,8,70,70,70,166,166,5385.87,79.8,152.7,96.6,12.95,0.184018,0.591918,0.332639,0.319015,0.103783,0.56991,0.1056,0.1399,
0.25,4.5,9,70,70,70,175,175,5800.41,79.8,165.4,94.19,13.35,0.159784,0.604087,0.34468,0.328273,0.115439,0.57903,0.108,0.14,
0.25,5,0,70,70,70,167,167,5915.65,79.8,158.7,95.86,14.69,0.139806,0.644344,0.309911,0.292042,0.112866,0.54825,0.0991,0.1398,
0.25,5,1,70,70,70,147,147,5453.07,79.8,135.5,100.04,13.6,0.108625,0.610715,0.312487,0.281153,0.117442,0.54983,0.1022,0.14,
0.25,5,2,70,70,70,168,168,5373.71,79.8,154.4,98.34,13.28,0.110259,0.624884,0.320083,0.299381,0.11694,0.55628,0.1018,0.14,
0.25,5,3,70,70,70,155,155,5469.73,79.8,141.5,96,13.39,0.122629,0.720215,0.335911,0.320194,0.119614,0.57074,0.1056,0.14,
0.25,5,4,70,70,70,176,176,6255.13,79.8,162.3,98.03,14.26,0.093286,0.623381,0.329316,0.31256,0.111253,0.56555,0.1032,0.14,
0.25,5,5,70,70,70,151,151,5378.63,79.8,139.7,96.86,13.19,0.149204,0.677484,0.333425,0.314537,0.109981,0.5701,0.1056,0.1399,
0.25,5,6,70,70,70,158,158,5854.1,79.8,145.4,93.6,13.74,0.144077,0.682681,0.333433,0.30807,0.114982,0.56915,0.1047,0.1399,
0.25,5,7,70,70,70,156,156,6014.68,79.8,146.3,94.89,13.76,0.117196,0.619098,0.332771,0.331753,0.107937,0.56913,0.1042,0.1399,
0.25,5,8,70,70,70,169,169,5385.87,79.8,155.3,99.51,13.28,0.179374,0.585094,0.331806,0.318094,0.094586,0.57028,0.1059,0.1399,
0.25,5,9,70,70,70,180,180,5800.41,79.8,170.1,96.88,13.71,0.160686,0.546666,0.337727,0.306417,0.109719,0.57355,0.1071,0.14,
0.25,5.5,0,70,70,70,172,172,5915.65,79.8,163.5,100.29,15.44,0.133411,0.645012,0.304394,0.294018,0.11299,0.54286,0.098,0.14,
0.25,5.5,1,70,70,70,154,154,5453.07,79.8,142.2,102.39,14.13,0.096533,0.640958,0.303278,0.269832,0.116896,0.54159,0.1006,0.14,
0.25,5.5,2,70,70,70,176,176,5373.71,79.8,162.5,102,14.1,0.114034,0.639979,0.315042,0.295038,0.113839,0.55238,0.1012,0.14,
0.25,5.5,3,70,70,70,170,170,5469.73,79.8,157,98.49,14.09,0.148113,0.596473,0.329343,0.321167,0.109223,0.56612,0.105,0.1399,
0.25,5.5,4,70,70,70,198,198,6255.13,79.8,185.2,102.7,15.04,0.104872,0.730005,0.325259,0.306962,0.116623,0.56165,0.1026,0.14,
0.25,5.5,5,70,70,70,155,155,5378.63,79.8,144.7,100.05,13.74,0.148284,0.686475,0.334172,0.32885,0.114106,0.57003,0.1056,0.1382,
0.25,5.5,6,70,70,70,170,170,5854.1,79.8,157.6,96.59,14.02,0.141482,0.689115,0.325924,0.306643,0.115979,0.56225,0.1034,0.1399,
0.25,5.5,7,70,70,70,177,177,6014.68,79.8,164.4,99.91,14.36,0.118944,0.593925,0.326037,0.322357,0.109167,0.56276,0.1031,0.14,
0.25,5.5,8,70,70,70,173,173,5385.87,79.8,159.3,105.03,13.72,0.144148,0.565612,0.322624,0.313317,0.096127,0.56183,0.1041,0.14,
0.25,5.5,9,70,70,70,181,181,5800.41,79.8,171.9,99.92,13.99,0.152364,0.546469,0.330868,0.301613,0.10891,0.56761,0.1062,0.14,
0.25,6,0,70,70,70,176,176,5915.65,79.8,167.5,102.99,15.29,0.125874,0.652411,0.305224,0.29158,0.115664,0.54312,0.098,0.14,
0.25,6,1,70,70,70,205,205,5453.07,79.8,192.3,105.5,14.24,0.096003,0.663475,0.293767,0.261869,0.113675,0.53309,0.0989,0.14,
0.25,6,2,70,70,70,202,202,5373.71,79.8,189.9,105.44,14.03,0.117456,0.603645,0.315212,0.286716,0.118836,0.55176,0.1013,0.14,
0.25,6,3,70,70,70,174,174,5469.73,79.8,161.2,102.83,13.95,0.170162,0.659514,0.315457,0.282855,0.113003,0.55332,0.1024,0.1399,
0.25,6,4,70,70,70,200,200,6255.13,79.8,187.9,106.38,15.07,0.113543,0.649775,0.315037,0.305651,0.10555,0.5536,0.1014,0.14,
0.25,6,5,70,70,70,188,188,5378.63,79.8,177.3,103.79,13.86,0.111782,0.692349,0.334803,0.331673,0.121379,0.56928,0.1053,0.1378,
0.25,6,6,70,70,70,173,173,5854.1,79.8,160.7,101.11,14.37,0.128689,0.676608,0.314154,0.299576,0.115074,0.55154,0.1014,0.1359,
0.25,6,7,70,70,70,181,181,6014.68,79.8,168.6,104.54,14.44,0.120924,0.595912,0.314605,0.30451,0.10856,0.55265,0.1013,0.14,
0.25,6,8,70,70,70,227,227,5385.87,79.8,218,110.7,13.98,0.141915,0.549845,0.322194,0.308362,0.095213,0.56147,0.1036,0.1399,
0.25,6,9,70,70,70,184,184,5800.41,79.8,174.2,104.35,14.29,0.144604,0.601411,0.321063,0.284,0.104926,0.55941,0.1047,0.1399,
0.25,6.5,0,70,70,70,180,180,5915.65,79.8,171.3,105.34,15.33,0.119585,0.680979,0.310481,0.290686,0.113829,0.54821,0.0987,0.1399,
0.25,6.5,1,70,70,70,217,217,5453.07,79.8,204.3,109.37,14.32,0.093127,0.652743,0.289891,0.259301,0.114926,0.52897,0.0982,0.1389,
0.25,6.5,2,70,70,70,224,224,5373.71,79.8,214.7,107.6,14.03,0.120573,0.614497,0.317683,0.285563,0.121678,0.55371,0.1017,0.1399,
0.25,6.5,3,70,70,70,176,176,5469.73,79.8,163,105.72,14.01,0.118271,0.657983,0.312271,0.28094,0.120299,0.54913,0.1014,0.1393,
0.25,6.5,4,70,70,70,209,209,6255.13,79.8,196.6,108.82,15.04,0.148947,0.601029,0.309553,0.294665,0.102805,0.54901,0.1005,0.14,
0.25,6.5,5,70,70,70,190,190,5378.63,79.8,179.8,107.25,13.93,0.121011,0.695718,0.33224,0.314863,0.126391,0.56633,0.1047,0.1399,
0.25,6.5,6,70,70,70,176,176,5854.1,79.8,163.8,101.71,14.34,0.139044,0.70529,0.324599,0.308736,0.130885,0.55923,0.1029,0.14,
0.25,6.5,7,70,70,70,188,188,6014.68,79.8,176,106.62,14.48,0.123099,0.619314,0.316791,0.305939,0.111798,0.55422,0.1017,0.14,
0.25,6.5,8,70,70,70,232,232,5385.87,79.8,222.3,113.9,13.98,0.133765,0.630523,0.325879,0.30701,0.103497,0.56387,0.104,0.1399,
0.25,6.5,9,70,70,70,190,190,5800.41,79.8,180.4,106.94,14.34,0.135326,0.60277,0.319307,0.289882,0.108079,0.55733,0.1049,0.1399,
0.25,7,0,70,70,70,203,203,5915.65,79.8,189.9,109.29,15.72,0.11466,0.684976,0.313658,0.306846,0.119956,0.55013,0.0989,0.1399,
0.25,7,1,70,70,70,224,224,5453.07,79.8,214.1,112.71,14.65,0.092052,0.653856,0.288791,0.258504,0.118445,0.52723,0.0976,0.14,
0.25,7,2,70,70,70,226,226,5373.71,79.8,216.7,109.84,14.23,0.123429,0.632904,0.318846,0.290953,0.120424,0.55486,0.1019,0.14,
0.25,7,3,70,70,70,182,182,5469.73,79.8,170.4,107.65,14.43,0.124821,0.744744,0.312989,0.2786,0.125814,0.54927,0.1015,0.14,
0.25,7,4,70,70,70,213,213,6255.13,79.8,203.6,111.04,15.26,0.139599,0.586159,0.310172,0.29081,0.104697,0.54921,0.1006,0.14,
0.25,7,5,70,70,70,188,188,5378.63,79.8,175.5,108.41,14.24,0.133841,0.73753,0.339683,0.302992,0.134529,0.57203,0.1057,0.14,
0.25,7,6,70,70,70,179,179,5854.1,79.8,166.9,104.53,14.62,0.133496,0.703834,0.32133,0.301847,0.128543,0.55655,0.1025,0.14,
0.25,7,7,70,70,70,192,192,6014.68,79.8,179.1,109.97,14.76,0.125582,0.641049,0.31857,0.303523,0.121336,0.55449,0.1018,0.14,
0.25,7,8,70,70,70,234,234,5385.87,79.8,224.9,116.02,14.31,0.134283,0.630915,0.327312,0.306451,0.106256,0.56474,0.1042,0.14,
0.25,7,9,70,70,70,211,211,5800.41,79.8,200,112.86,14.63,0.115367,0.612001,0.302756,0.278639,0.106418,0.54206,0.1017,0.14,
0.26,3,0,70,70,70,121,121,5915.65,79.8,107.6,84.52,15.31,0.135072,0.701933,0.312656,0.290177,0.114802,0.55106,0.1003,0.1399,
0.26,3,1,70,70,70,123,123,5453.07,79.8,113.5,87.03,14.24,0.133742,0.710976,0.322842,0.295479,0.11307,0.56043,0.104,0.1399,
0.26,3,2,70,70,70,118,118,5373.71,79.8,106.2,86.09,13.97,0.100618,0.660235,0.325268,0.32689,0.116545,0.56096,0.1023,0.14,
0.26,3,3,70,70,70,127,127,5469.73,79.8,116,86.42,14.07,0.138375,0.568593,0.343501,0.326894,0.10505,0.57919,0.1073,0.14,
0.26,3,4,70,70,70,122,122,6255.13,79.8,108.7,85.95,14.97,0.149136,0.609023,0.339035,0.326144,0.105355,0.57529,0.1054,0.14,
0.26,3,5,70,70,70,132,132,5378.63,79.8,121.6,87.23,13.81,0.172726,0.696653,0.334101,0.324994,0.101142,0.57183,0.1058,0.1388,
0.26,3,6,70,70,70,138,138,5854.1,79.8,125.1,84.62,14.31,0.134968,0.601391,0.340498,0.337272,0.106312,0.57606,0.1062,0.1397,
0.26,3,7,70,70,70,129,129,6014.68,79.8,117.7,86.49,14.36,0.12209,0.616609,0.329954,0.322357,0.105395,0.567,0.1038,0.14,
0.26,3,8,70,70,70,140,140,5385.87,79.8,128.1,88.35,13.8,0.202897,0.63315,0.339843,0.328493,0.092556,0.57786,0.1071,0.14,
0.26,3,9,70,70,70,127,127,5800.41,79.8,114.2,87.14,14.27,0.156485,0.625509,0.344768,0.327913,0.114749,0.57907,0.1078,0.14,
0.26,3.5,0,70,70,70,138,138,5915.65,79.8,127.3,87.42,15.24,0.136833,0.708816,0.319523,0.293999,0.115984,0.55709,0.1011,0.14,
0.26,3.5,1,70,70,70,136,136,5453.07,79.8,124.3,91.21,14.12,0.141145,0.661646,0.323383,0.300249,0.113525,0.56085,0.1041,0.14,
0.26,3.5,2,70,70,70,131,131,5373.71,79.8,118.1,89.51,13.77,0.103431,0.659592,0.33013,0.334757,0.113665,0.56577,0.1033,0.14,
0.26,3.5,3,70,70,70,130,130,5469.73,79.8,120.1,88.01,13.9,0.148092,0.566769,0.353973,0.341238,0.107455,0.58806,0.1088,0.14,
0.26,3.5,4,70,70,70,141,141,6255.13,79.8,127.9,89.31,14.88,0.16052,0.632719,0.345426,0.321763,0.111304,0.58032,0.106,0.1399,
0.26,3.5,5,70,70,70,134,134,5378.63,79.8,123.3,89.91,13.64,0.170221,0.668601,0.342155,0.330197,0.109499,0.57788,0.1069,0.1399,
0.26,3.5,6,70,70,70,138,138,5854.1,79.8,125.1,87.77,14.33,0.138658,0.607842,0.346791,0.328572,0.11302,0.58082,0.1069,0.14,
0.26,3.5,7,70,70,70,133,133,6014.68,79.8,121.6,88.97,14.33,0.1214,0.614829,0.340129,0.338867,0.106592,0.57575,0.1055,0.14,
0.26,3.5,8,70,70,70,155,155,5385.87,79.8,144,91.89,13.67,0.186156,0.629803,0.340866,0.336314,0.103264,0.57744,0.1068,0.1386,
0.26,3.5,9,70,70,70,145,145,5800.41,79.8,135.3,90.54,14.13,0.146955,0.627235,0.346304,0.326855,0.111649,0.58082,0.1082,0.14,
0.26,4,0,70,70,70,144,144,5915.65,79.8,132.3,90.36,15.23,0.13874,0.74781,0.323255,0.299401,0.11736,0.56025,0.1013,0.1399,
0.26,4,1,70,70,70,139,139,5453.07,79.8,127.8,92.91,14.2,0.130818,0.67254,0.329767,0.31206,0.117756,0.56593,0.1051,0.14,
0.26,4,2,70,70,70,160,160,5373.71,79.8,146.1,92.06,13.82,0.10694,0.642611,0.335041,0.331765,0.117614,0.56969,0.1042,0.14,
0.26,4,3,70,70,70,132,132,5469.73,79.8,122.6,89.67,13.9,0.156123,0.599336,0.358845,0.343701,0.110984,0.59198,0.1097,0.14,
0.26,4,4,70,70,70,144,144,6255.13,79.8,130.6,91.86,15.03,0.159227,0.648921,0.349388,0.332787,0.111361,0.58366,0.1066,0.1388,
0.26,4,5,70,70,70,141,141,5378.63,79.8,129.7,91.97,13.85,0.171366,0.69458,0.347487,0.3354,0.111078,0.58242,0.1079,0.1369,
0.26,4,6,70,70,70,142,142,5854.1,79.8,129.3,88.93,14.37,0.142381,0.729968,0.353396,0.344002,0.11845,0.58615,0.1079,0.14,
0.26,4,7,70,70,70,136,136,6014.68,79.8,124.8,90.06,14.45,0.12158,0.621562,0.348628,0.348063,0.109269,0.58283,0.1068,0.14,
0.26,4,8,70,70,70,161,161,5385.87,79.8,147.4,94.86,13.89,0.189105,0.660293,0.344503,0.337068,0.108281,0.5799,0.1072,0.1399,
0.26,4,9,70,70,70,176,176,5800.41,79.8,166.8,93.56,14.32,0.151949,0.62526,0.357119,0.338055,0.110559,0.59036,0.1103,0.14,
0.26,4.5,0,70,70,70,162,162,5915.65,79.8,153.6,93.89,15.65,0.140826,0.695153,0.3258,0.308765,0.121544,0.56155,0.1017,0.14,
0.26,4.5,1,70,70,70,146,146,5453.07,79.8,134.5,97.89,14.56,0.128404,0.622277,0.324253,0.301699,0.114,0.56117,0.1042,0.14,
0.26,4.5,2,70,70,70,166,166,5373.71,79.8,152.5,94.86,14.19,0.111209,0.618935,0.332637,0.321675,0.117893,0.56742,0.1039,0.1399,
0.26,4.5,3,70,70,70,146,146,5469.73,79.8,132.2,93.19,14.38,0.162792,0.661577,0.357536,0.350959,0.117159,0.58998,0.1092,0.14,
0.26,4.5,4,70,70,70,167,167,6255.13,79.8,153.3,95.74,15.51,0.091238,0.659715,0.349177,0.331098,0.118628,0.58226,0.1062,0.1381,
0.26,4.5,5,70,70,70,149,149,5378.63,79.8,137.7,94.58,14.13,0.162018,0.714203,0.352718,0.338704,0.115987,0.58634,0.1087,0.1399,
0.26,4.5,6,70,70,70,156,156,5854.1,79.8,143.6,91.58,14.74,0.146013,0.733684,0.354229,0.3393,0.123167,0.58642,0.108,0.14,
0.26,4.5,7,70,70,70,154,154,6014.68,79.8,144.2,92.62,14.73,0.122366,0.623569,0.348272,0.348362,0.108835,0.58253,0.1066,0.1399,
0.26,4.5,8,70,70,70,171,171,5385.87,79.8,161.9,99.03,14.28,0.183477,0.652432,0.346262,0.336438,0.104026,0.58192,0.1076,0.1399,
0.26,4.5,9,70,70,70,180,180,5800.41,79.8,170.1,96.48,14.74,0.16639,0.595354,0.351393,0.322632,0.113986,0.58513,0.1092,0.14,
0.26,5,0,70,70,70,168,168,5915.65,79.8,159.9,97.99,16.2,0.144971,0.646989,0.321803,0.316953,0.112871,0.55903,0.1009,0.14,
0.26,5,1,70,70,70,198,198,5453.07,79.8,186,102.39,15.1,0.108817,0.657015,0.319679,0.288468,0.120533,0.55627,0.1032,0.14,
0.26,5,2,70,70,70,169,169,5373.71,79.8,155.4,99.81,14.67,0.115542,0.634109,0.335961,0.320003,0.119862,0.57031,0.1043,0.14,
0.26,5,3,70,70,70,156,156,5469.73,79.8,142.5,97.46,14.69,0.126025,0.634835,0.346777,0.33475,0.115653,0.58072,0.1075,0.14,
0.26,5,4,70,70,70,200,200,6255.13,79.8,187.3,100.85,15.73,0.096022,0.666819,0.348714,0.331723,0.118015,0.58183,0.1063,0.14,
0.26,5,5,70,70,70,155,155,5378.63,79.8,144.2,98.13,14.65,0.158035,0.728403,0.358129,0.346472,0.120947,0.59042,0.1094,0.1399,
0.26,5,6,70,70,70,167,167,5854.1,79.8,154.5,96.25,15.21,0.149583,0.732201,0.343924,0.320319,0.12205,0.57765,0.106,0.1399,
0.26,5,7,70,70,70,160,160,6014.68,79.8,150.1,96.45,15.18,0.123676,0.626929,0.343744,0.347108,0.107214,0.57893,0.106,0.1399,
0.26,5,8,70,70,70,220,220,5385.87,79.8,210.5,104.41,14.61,0.168323,0.622185,0.343504,0.326099,0.104497,0.57954,0.1067,0.1399,
0.26,5,9,70,70,70,180,180,5800.41,79.8,170.1,98.8,15.02,0.167262,0.583639,0.348498,0.32482,0.113867,0.5826,0.1089,0.14,
