I_U,T_INT,seed,nodes_completed,sim_duration_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.050,7.000,2,20,176.000,1760.080,35.000,165.000,71.240,14.710,
0.050,7.000,3,20,134.000,1931.230,35.300,121.200,69.690,12.970,
0.050,7.000,4,20,134.000,2035.200,35.000,125.200,75.240,13.330,
0.050,7.000,5,20,165.000,1835.090,35.600,153.600,83.600,12.630,
0.050,7.000,6,20,165.000,1941.750,35.000,155.600,77.380,14.680,
0.050,7.000,7,20,162.000,1654.850,35.000,151.500,68.620,12.510,
0.050,7.000,8,20,195.000,1480.540,35.000,185.300,82.910,11.870,
0.050,7.000,9,20,168.000,1774.270,35.000,157.600,76.490,13.080,
0.060,3.000,0,20,77.000,1732.260,16.200,65.400,33.270,13.020,
0.060,3.000,1,20,86.000,1919.030,15.000,73.200,34.470,13.160,
0.060,3.000,2,20,105.000,1760.080,15.000,93.900,36.080,14.630,
0.060,3.000,3,20,78.000,1931.230,15.000,67.500,38.180,12.960,
0.060,3.000,4,20,64.000,2035.200,15.100,51.100,29.390,13.080,
0.060,3.000,5,20,83.000,1835.090,15.000,70.300,35.630,12.480,
0.060,3.000,6,20,82.000,1941.750,15.000,70.000,40.570,14.260,
0.060,3.000,7,20,97.000,1654.850,15.700,87.900,35.770,12.300,
0.060,3.000,8,20,78.000,1480.540,15.000,67.900,30.290,11.760,
0.060,3.000,9,20,85.000,1774.270,15.100,74.300,38.060,12.540,
0.060,3.500,0,20,88.000,1732.260,17.800,76.500,35.270,12.600,
0.060,3.500,1,20,96.000,1919.030,17.500,84.700,42.070,12.880,
0.060,3.500,2,20,129.000,1760.080,17.500,117.600,42.490,14.500,
0.060,3.500,3,20,84.000,1931.230,17.500,73.300,42.510,12.830,
0.060,3.500,4,20,78.000,2035.200,17.500,66.600,36.350,12.940,
0.060,3.500,5,20,90.000,1835.090,17.500,77.800,44.050,12.300,
0.060,3.500,6,20,95.000,1941.750,17.500,85.800,45.980,14.120,
0.060,3.500,7,20,104.000,1654.850,17.500,94.400,39.660,12.440,
0.060,3.500,8,20,87.000,1480.540,19.200,78.000,44.820,11.800,
0.060,3.500,9,20,89.000,1774.270,17.500,78.700,42.230,12.760,
0.060,4.000,0,20,90.000,1732.260,20.100,78.400,40.380,12.950,
0.060,4.000,1,20,108.000,1919.030,20.000,97.700,50.170,12.660,
0.060,4.000,2,20,137.000,1760.080,20.000,125.900,47.890,14.270,
0.060,4.000,3,20,89.000,1931.230,20.000,77.600,45.900,12.840,
0.060,4.000,4,20,108.000,2035.200,20.100,99.300,43.290,12.770,
0.060,4.000,5,20,121.000,1835.090,20.000,111.000,54.630,12.160,
0.060,4.000,6,20,102.000,1941.750,20.000,89.900,53.000,13.970,
0.060,4.000,7,20,109.000,1654.850,20.000,99.500,42.770,11.820,
0.060,4.000,8,20,110.000,1480.540,20.000,99.100,47.150,11.360,
0.060,4.000,9,20,98.000,1774.270,20.000,88.000,46.820,12.320,
0.060,4.500,0,20,117.000,1732.260,22.500,105.700,48.050,12.400,
