I_U,T_INT,seed,nodes_completed,sim_duration_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.050,3.000,0,20,82.000,1732.260,15.800,71.000,34.730,7.640,
0.050,3.000,1,20,90.000,1919.030,15.000,77.200,37.850,8.250,
0.050,3.000,2,20,104.000,1760.080,15.000,92.100,39.480,8.980,
0.050,3.000,3,20,84.000,1931.230,15.000,73.100,42.450,7.880,
0.050,3.000,4,20,68.000,2035.200,15.100,55.500,34.870,7.980,
0.050,3.000,5,20,86.000,1835.090,16.500,73.700,42.280,7.780,
0.050,3.000,6,20,89.000,1941.750,15.000,76.200,43.600,8.730,
0.050,3.000,7,20,99.000,1654.850,15.700,89.400,37.900,7.350,
0.050,3.000,8,20,86.000,1480.540,15.800,76.900,40.260,7.090,
0.050,3.000,9,20,86.000,1774.270,17.800,75.200,41.550,7.580,
0.050,3.500,0,20,90.000,1732.260,17.600,78.400,38.640,7.720,
0.050,3.500,1,20,103.000,1919.030,19.000,92.100,47.330,7.960,
0.050,3.500,2,20,121.000,1760.080,17.500,109.400,46.830,9.200,
0.050,3.500,3,20,89.000,1931.230,17.500,78.200,48.470,8.120,
0.050,3.500,4,20,106.000,2035.200,17.500,97.200,40.330,8.030,
0.050,3.500,5,20,101.000,1835.090,17.500,89.800,51.180,7.790,
0.050,3.500,6,20,100.000,1941.750,17.500,87.800,48.480,8.830,
0.050,3.500,7,20,107.000,1654.850,18.900,97.200,42.000,7.770,
0.050,3.500,8,20,101.000,1480.540,18.400,91.600,47.220,7.150,
0.050,3.500,9,20,96.000,1774.270,18.800,85.600,46.710,7.670,
0.050,4.000,0,20,117.000,1732.260,20.000,105.300,45.090,7.950,
0.050,4.000,1,20,124.000,1919.030,20.500,111.400,57.910,8.390,
0.050,4.000,2,20,134.000,1760.080,21.700,122.300,52.750,9.490,
0.050,4.000,3,20,95.000,1931.230,20.000,83.600,52.960,8.260,
0.050,4.000,4,20,112.000,2035.200,20.000,104.000,44.890,8.430,
0.050,4.000,5,20,113.000,1835.090,20.000,102.400,58.370,7.920,
0.050,4.000,6,20,123.000,1941.750,20.000,113.700,58.380,9.020,
0.050,4.000,7,20,116.000,1654.850,20.000,105.600,48.680,7.980,
0.050,4.000,8,20,110.000,1480.540,21.000,100.900,51.920,7.530,
0.050,4.000,9,20,105.000,1774.270,20.000,94.500,50.540,8.040,
0.050,4.500,0,20,127.000,1732.260,22.500,115.100,50.140,7.740,
0.050,4.500,1,20,124.000,1919.030,22.500,113.700,57.300,7.940,
0.050,4.500,2,20,144.000,1760.080,24.100,132.500,57.800,9.090,
0.050,4.500,3,20,107.000,1931.230,22.500,94.600,58.750,8.100,
0.050,4.500,4,20,118.000,2035.200,22.500,109.800,47.400,8.310,
0.050,4.500,5,20,121.000,1835.090,22.500,110.400,65.200,8.080,
0.050,4.500,6,20,141.000,1941.750,22.500,131.300,62.910,9.000,
0.050,4.500,7,20,126.000,1654.850,22.500,115.700,54.440,7.860,
0.050,4.500,8,20,119.000,1480.540,22.500,109.100,52.850,7.270,
0.050,4.500,9,20,114.000,1774.270,22.500,103.400,59.070,7.590,
0.050,5.000,0,20,133.000,1732.260,25.000,121.900,55.020,8.350,
0.050,5.000,1,20,145.000,1919.030,25.000,133.700,75.450,8.580,
0.050,5.000,2,20,155.000,1760.080,26.500,143.900,62.560,9.890,
0.050,5.000,3,20,113.000,1931.230,25.000,101.300,62.990,8.950,
0.050,5.000,4,20,123.000,2035.200,25.000,114.900,56.720,8.950,
0.050,5.000,5,20,129.000,1835.090,25.200,118.200,71.770,8.460,
0.050,5.000,6,20,150.000,1941.750,25.000,140.100,66.650,9.640,
0.050,5.000,7,20,138.000,1654.850,25.000,127.500,61.210,8.430,
0.050,5.000,8,20,129.000,1480.540,25.000,118.400,58.380,7.960,
0.050,5.000,9,20,126.000,1774.270,25.000,116.700,65.590,8.580,
0.050,5.500,0,20,140.000,1732.260,27.500,128.800,59.660,8.370,
0.050,5.500,1,20,153.000,1919.030,27.500,140.800,81.350,8.670,
0.050,5.500,2,20,164.000,1760.080,29.100,152.700,67.140,9.720,
0.050,5.500,3,20,125.000,1931.230,27.600,114.100,71.240,8.600,
0.050,5.500,4,20,129.000,2035.200,27.500,120.200,59.970,8.630,
0.050,5.500,5,20,133.000,1835.090,28.000,122.200,80.210,8.120,
0.050,5.500,6,20,157.000,1941.750,27.500,147.800,71.300,9.300,
0.050,5.500,7,20,150.000,1654.850,27.500,139.400,66.150,8.230,
0.050,5.500,8,20,181.000,1480.540,27.500,171.600,69.870,7.880,
0.050,5.500,9,20,131.000,1774.270,27.500,122.000,71.040,8.470,
0.050,6.000,0,20,145.000,1732.260,30.000,133.700,64.970,8.400,
0.050,6.000,1,20,180.000,1919.030,30.300,168.800,90.280,9.020,
0.050,6.000,2,20,173.000,1760.080,31.500,161.200,70.360,9.940,
0.050,6.000,3,20,129.000,1931.230,30.000,116.100,69.310,8.650,
0.050,6.000,4,20,134.000,2035.200,30.000,125.100,64.770,9.080,
0.050,6.000,5,20,159.000,1835.090,30.000,147.500,84.700,8.430,
0.050,6.000,6,20,163.000,1941.750,30.000,153.800,79.000,9.760,
0.050,6.000,7,20,159.000,1654.850,30.000,149.000,69.240,8.160,
0.050,6.000,8,20,191.000,1480.540,30.000,181.400,77.220,8.060,
0.050,6.000,9,20,146.000,1774.270,30.000,135.800,75.950,8.600,
0.050,6.500,0,20,162.000,1732.260,32.500,150.200,69.030,8.370,
0.050,6.500,1,20,188.000,1919.030,33.000,178.700,100.650,8.710,
0.050,6.500,2,20,182.000,1760.080,32.500,170.900,72.970,9.660,
0.050,6.500,3,20,167.000,1931.230,32.500,158.900,78.950,8.600,
0.050,6.500,4,20,137.000,2035.200,32.500,128.500,77.690,8.790,
0.050,6.500,5,20,162.000,1835.090,33.200,150.700,89.160,8.370,
0.050,6.500,6,20,177.000,1941.750,32.500,167.900,85.390,9.330,
