I_U,T_INT,seed,nodes_completed,sim_duration_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.050,3.000,0,20,52.000,1732.260,15.000,40.500,21.390,8.940,
0.050,3.000,1,20,76.000,1919.030,15.000,63.400,25.660,9.520,
0.050,3.000,2,20,91.000,1760.080,15.000,79.400,24.780,10.530,
0.050,3.000,3,20,57.000,1931.230,15.000,46.200,26.130,9.480,
0.050,3.000,4,20,52.000,2035.200,15.000,40.400,22.090,9.680,
0.050,3.000,5,20,72.000,1835.090,15.000,59.600,21.770,8.800,
0.050,3.000,6,20,67.000,1941.750,15.000,55.200,26.920,10.370,
0.050,3.000,7,20,79.000,1654.850,15.000,69.300,24.180,8.500,
0.050,3.000,8,20,44.000,1480.540,15.000,34.200,18.740,8.620,
0.050,3.000,9,20,58.000,1774.270,15.000,45.600,23.760,9.050,
0.050,3.500,0,20,55.000,1732.260,17.500,43.200,23.650,8.860,
0.050,3.500,1,20,83.000,1919.030,17.500,70.100,30.200,8.880,
0.050,3.500,2,20,101.000,1760.080,17.500,89.200,27.840,10.300,
0.050,3.500,3,20,64.000,1931.230,17.500,51.700,30.020,8.660,
0.050,3.500,4,20,55.000,2035.200,17.500,43.400,24.640,9.190,
0.050,3.500,5,20,78.000,1835.090,17.500,65.600,25.300,8.560,
0.050,3.500,6,20,79.000,1941.750,17.500,66.700,31.920,9.640,
0.050,3.500,7,20,86.000,1654.850,17.500,76.700,28.160,8.820,
0.050,3.500,8,20,47.000,1480.540,17.500,37.300,24.290,7.940,
0.050,3.500,9,20,63.000,1774.270,17.500,50.800,26.570,8.990,
0.050,4.000,0,20,69.000,1732.260,20.000,59.600,26.570,9.480,
0.050,4.000,1,20,88.000,1919.030,20.000,75.900,33.950,9.680,
0.050,4.000,2,20,112.000,1760.080,20.000,100.600,31.770,11.400,
0.050,4.000,3,20,76.000,1931.230,20.000,65.200,33.420,9.680,
0.050,4.000,4,20,58.000,2035.200,20.000,46.900,28.460,10.020,
