I_U,T_INT,seed,nodes_completed,sim_duration_s,total_survey_time_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.050,3.000,0,30,88.000,88.000,2176.440,15.000,49.700,20.230,4.220,
0.050,3.000,1,30,97.000,97.000,1883.990,15.000,63.800,25.520,4.090,
0.050,3.000,2,30,85.000,85.000,1872.900,15.000,44.400,22.200,4.010,
0.050,3.000,3,30,94.000,94.000,1884.770,15.000,45.200,23.400,4.090,
0.050,3.000,4,30,75.000,75.000,1825.070,15.000,40.400,20.850,4.050,
0.050,3.000,5,30,93.000,93.000,2095.620,15.000,59.300,24.000,4.280,
0.050,3.000,6,30,80.000,80.000,2014.210,15.000,46.400,22.240,4.220,
0.050,3.000,7,30,74.000,74.000,1866.550,15.000,65.100,21.050,3.960,
0.050,3.000,8,30,108.000,108.000,1677.280,15.000,53.300,22.390,4.010,
0.050,3.000,9,30,99.000,99.000,1987.310,15.000,42.600,21.940,4.420,
0.050,3.500,0,30,90.000,90.000,2176.440,17.500,52.000,22.160,4.410,
0.050,3.500,1,30,106.000,106.000,1876.490,17.500,69.700,29.550,4.160,
0.050,3.500,2,30,90.000,90.000,1940.520,17.500,52.800,22.950,4.190,
0.050,3.500,3,30,105.000,105.000,1936.050,17.500,49.000,28.450,4.310,
0.050,3.500,4,30,127.000,127.000,1853.390,17.500,70.300,25.450,4.200,
0.050,3.500,5,30,102.000,102.000,2091.270,17.500,65.200,28.560,4.360,
0.050,3.500,6,30,114.000,114.000,2027.290,17.500,66.300,28.390,4.290,
0.050,3.500,7,30,106.000,106.000,1823.890,17.500,73.500,28.740,4.100,
0.050,3.500,8,30,112.000,112.000,1666.280,17.500,57.500,25.500,4.480,
0.050,3.500,9,30,106.000,106.000,2003.440,17.500,46.800,25.540,4.660,
0.050,4.000,0,30,116.000,116.000,2183.250,20.000,59.200,27.100,4.740,
0.050,4.000,1,30,119.000,119.000,1873.190,20.000,80.900,32.820,4.620,
0.050,4.000,2,30,119.000,119.000,1944.710,20.000,65.400,26.410,4.560,
0.050,4.000,3,30,119.000,119.000,1892.900,20.000,60.400,31.600,4.690,
0.050,4.000,4,30,134.000,134.000,1830.120,20.000,76.700,29.900,4.530,
0.050,4.000,5,30,110.000,110.000,2094.500,20.000,70.700,32.130,4.720,
0.050,4.000,6,30,144.000,144.000,1977.370,20.000,79.000,32.070,4.560,
0.050,4.000,7,30,119.000,119.000,1933.880,20.000,80.300,30.410,4.400,
0.050,4.000,8,30,120.000,120.000,1694.860,20.000,59.600,26.270,4.350,
0.050,4.000,9,30,108.000,108.000,1999.770,20.000,45.800,28.560,4.560,
0.050,4.500,0,30,127.000,127.000,2159.170,22.500,63.700,28.790,4.660,
0.050,4.500,1,30,129.000,129.000,1865.200,22.500,87.200,35.550,4.460,
0.050,4.500,2,30,118.000,118.000,1953.500,22.500,61.900,29.000,4.440,
0.050,4.500,3,30,112.000,112.000,1881.570,22.500,70.600,34.240,4.520,
0.050,4.500,4,30,139.000,139.000,1833.260,22.500,80.400,34.660,4.430,
0.050,4.500,5,30,141.000,141.000,2086.320,22.500,73.700,41.960,4.510,
0.050,4.500,6,30,151.000,151.000,2003.600,22.500,87.100,37.610,4.650,
0.050,4.500,7,30,124.000,124.000,1934.030,22.500,91.000,34.410,4.460,
0.050,4.500,8,30,121.000,121.000,1713.350,22.500,60.700,29.190,4.410,
0.050,4.500,9,30,129.000,129.000,1989.790,22.500,75.500,30.630,4.500,
0.050,5.000,0,30,135.000,135.000,2177.790,25.000,68.900,33.590,4.590,
0.050,5.000,1,30,131.000,131.000,1857.580,25.000,86.500,39.900,4.490,
0.050,5.000,2,30,114.000,114.000,1932.940,25.000,60.200,33.650,4.440,
0.050,5.000,3,30,123.000,123.000,1888.380,25.000,72.500,38.700,4.530,
0.050,5.000,4,30,141.000,141.000,1833.260,25.000,81.500,37.050,4.360,
0.050,5.000,5,30,159.000,159.000,2086.320,25.000,80.600,45.420,4.770,
0.050,5.000,6,30,161.000,161.000,1968.650,25.000,91.500,40.620,4.710,
0.050,5.000,7,30,137.000,137.000,1888.260,25.000,95.600,39.300,4.490,
0.050,5.000,8,30,121.000,121.000,1696.280,25.000,58.600,32.340,4.420,
0.050,5.000,9,30,131.000,131.000,1987.440,25.000,78.900,34.660,4.580,
0.050,5.500,0,30,143.000,143.000,2136.460,27.500,70.500,37.660,4.640,
0.050,5.500,1,30,134.000,134.000,1860.990,27.500,92.600,43.170,4.550,
0.050,5.500,2,30,132.000,132.000,1977.610,27.500,72.500,37.080,4.560,
